#Empirical CDF function
#interArrival(x), interArrivalCdf(y)
5e-08,0.0009337068160597573
4.2e-05,0.001867413632119515
7.8e-05,0.002801120448179272
7.9e-05,0.003734827264239029
0.000273,0.004668534080298786
0.000278,0.005602240896358543
0.000281,0.006535947712418301
0.000282,0.007469654528478058
0.000283,0.008403361344537815
0.000285,0.009337068160597572
0.000289,0.01027077497665733
0.000329,0.01120448179271709
0.000379,0.01213818860877684
0.000441,0.0130718954248366
0.000448,0.01400560224089636
0.000457,0.01493930905695612
0.000458,0.01587301587301587
0.000465,0.01680672268907563
0.000467,0.01774042950513539
0.000469,0.01867413632119514
0.000474,0.0196078431372549
0.000476,0.02054154995331466
0.000486,0.02147525676937442
0.00049,0.02240896358543417
0.000498,0.02334267040149393
0.000514,0.02521008403361345
0.000514,0.02521008403361345
0.000515,0.0261437908496732
0.000528,0.02707749766573296
0.000538,0.02801120448179272
0.000549,0.02894491129785248
0.000564,0.02987861811391223
0.000569,0.03081232492997199
0.000585,0.03174603174603174
0.0005910000000000001,0.03361344537815125
0.0005910000000000001,0.03361344537815125
0.000605,0.03454715219421101
0.000625,0.03548085901027076
0.000627,0.03641456582633051
0.000635,0.03734827264239027
0.000661,0.03828197945845002
0.000669,0.03921568627450978
0.000677,0.04014939309056953
0.000678,0.04108309990662928
0.000687,0.04201680672268904
0.000961,0.04388422035480855
0.000961,0.04388422035480855
0.00098,0.0448179271708683
0.001078,0.04575163398692805
0.001084,0.04668534080298781
0.001087,0.04761904761904756
0.001104,0.04855275443510731
0.001149,0.04948646125116707
0.001166,0.05042016806722682
0.001175,0.05135387488328658
0.001219,0.05228758169934633
0.001431,0.05322128851540608
0.001491,0.05415499533146584
0.001578,0.05508870214752559
0.001714,0.05602240896358535
0.001739,0.0569561157796451
0.001887,0.05788982259570485
0.001913,0.05882352941176461
0.001937,0.05975723622782436
0.001954,0.06069094304388412
0.001985,0.06162464985994387
0.002148,0.06255835667600362
0.002273,0.06349206349206338
0.002325,0.06442577030812313
0.002343,0.06535947712418289
0.002365,0.06629318394024264
0.002412,0.06722689075630239
0.002432,0.06816059757236215
0.002433,0.0690943043884219
0.002438,0.07002801120448165
0.002441,0.07096171802054141
0.002469,0.07189542483660116
0.002481,0.07282913165266092
0.002498,0.07376283846872067
0.002513,0.07469654528478042
0.002564,0.07563025210084018
0.002609,0.07656395891689993
0.00261,0.07749766573295969
0.002723,0.07843137254901944
0.00275,0.07936507936507919
0.002852,0.08029878618113895
0.002886,0.0812324929971987
0.002888,0.08216619981325846
0.002895,0.08309990662931821
0.002946,0.08403361344537796
0.002959,0.08496732026143772
0.002973,0.08590102707749747
0.002974,0.08683473389355723
0.00299,0.08776844070961698
0.002998,0.08870214752567673
0.003013,0.08963585434173649
0.003022,0.09056956115779624
0.003044,0.091503267973856
0.003045,0.09243697478991575
0.003056,0.0933706816059755
0.003096,0.09430438842203526
0.003119,0.09523809523809501
0.003124,0.09617180205415476
0.00313,0.09710550887021452
0.003131,0.09803921568627427
0.003165,0.09897292250233403
0.003168,0.09990662931839378
0.003175,0.1008403361344535
0.003178,0.1017740429505133
0.0032,0.102707749766573
0.003221,0.1036414565826328
0.003234,0.1045751633986925
0.003239,0.1055088702147523
0.003248,0.1064425770308121
0.003254,0.1083099906629316
0.003254,0.1083099906629316
0.003285,0.1092436974789913
0.003294,0.1101774042950511
0.003299,0.1111111111111108
0.003342,0.1120448179271706
0.003344,0.1129785247432303
0.003355,0.1139122315592901
0.003357,0.1148459383753498
0.003369,0.1157796451914096
0.003373,0.1167133520074694
0.003404,0.1176470588235291
0.003412,0.1195144724556486
0.003412,0.1195144724556486
0.003415,0.1204481792717084
0.003472,0.1213818860877681
0.003482,0.1223155929038279
0.003503,0.1232492997198876
0.003542,0.1241830065359474
0.003556,0.1251167133520071
0.003576,0.1260504201680669
0.003589,0.1269841269841266
0.003619,0.1279178338001864
0.00364,0.1288515406162462
0.003654,0.1297852474323059
0.003679,0.1307189542483657
0.003685,0.1316526610644254
0.003689,0.1325863678804852
0.003708,0.1335200746965449
0.003718,0.1344537815126047
0.003731,0.1363211951447242
0.003731,0.1363211951447242
0.003745,0.1372549019607839
0.003756,0.1381886087768437
0.003802,0.1391223155929034
0.003823,0.1400560224089632
0.003829,0.140989729225023
0.003847,0.1419234360410827
0.003848,0.1428571428571425
0.003849,0.1437908496732022
0.003853,0.144724556489262
0.003883,0.1456582633053217
0.003887,0.1465919701213815
0.003897,0.1475256769374412
0.003906,0.148459383753501
0.003914,0.1493930905695607
0.003915,0.1503267973856205
0.003916,0.1512605042016802
0.003918,0.15219421101774
0.003923,0.1531279178337998
0.003931,0.1540616246498595
0.003935,0.1549953314659193
0.003936,0.155929038281979
0.003947,0.1568627450980388
0.003955,0.1577964519140985
0.003959,0.1587301587301583
0.003966,0.159663865546218
0.003969,0.1605975723622778
0.003976,0.1615312791783375
0.003982,0.1624649859943973
0.003987,0.163398692810457
0.003999,0.1643323996265168
0.00404,0.1652661064425766
0.004055,0.1661998132586363
0.004068,0.1671335200746961
0.00407,0.1680672268907558
0.004071,0.1690009337068156
0.004095,0.1699346405228753
0.004102,0.1708683473389351
0.004122,0.1718020541549948
0.004131,0.1727357609710546
0.004136,0.1736694677871143
0.004152,0.1746031746031741
0.004158,0.1755368814192338
0.004165,0.1764705882352936
0.004173,0.1774042950513534
0.004178,0.1783380018674131
0.004185,0.1792717086834729
0.004194,0.1802054154995326
0.004195,0.1811391223155924
0.004196,0.1820728291316521
0.004199,0.1830065359477119
0.004224,0.1839402427637716
