#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.735086,0.000000
Weibull        ,0.519122,0.005302
Normal         ,0.517766,0.005340
Exponential(LR),0.518988,0.006740
Exponential(Me),0.518988,0.006740
Pareto(LR)     ,0.519934,0.005673
Pareto(MLH)    ,0.513610,0.004924
Cauchy         ,0.516786,0.006654
