#Normal aproximation vs Original set
#Normal(x), Normal(CDF)
1e-08,0.2828763430815723
1.020960662306048e-08,0.2828764506267083
1.042360673976401e-08,0.2828765604260818
1.064209244064725e-08,0.282876672526944
1.086515774652537e-08,0.2828767869775366
1.109289864895223e-08,0.2828769038271123
1.132541315152813e-08,0.2828770231259565
1.156280131207375e-08,0.2828771449254083
1.180516528568806e-08,0.2828772692778833
1.205260936870841e-08,0.2828773962368957
1.230524004359262e-08,0.2828775258570812
1.256316602474122e-08,0.2828776581942211
1.28264983052806e-08,0.2828777933052657
1.309535020482668e-08,0.2828779312483594
1.336983741824945e-08,0.282878072082865
1.365007806546014e-08,0.2828782158693898
1.393619274224144e-08,0.2828783626698116
1.422830457214352e-08,0.2828785125473052
1.452653925946781e-08,0.2828786655663698
1.483102514336103e-08,0.2828788217928562
1.514189325304352e-08,0.282878981293996
1.545927736419478e-08,0.28287914413843
1.578331405652117e-08,0.2828793103962375
1.61141427725302e-08,0.2828794801389672
1.645190587753661e-08,0.2828796534396675
1.679674872092653e-08,0.2828798303729177
1.714881969870541e-08,0.2828800110148609
1.750827031735723e-08,0.2828801954432361
1.787525525904235e-08,0.2828803837374116
1.824993244816151e-08,0.28288057597842
1.86324631193156e-08,0.2828807722489919
1.902301188668946e-08,0.2828809726335925
1.942174681489025e-08,0.2828811772184573
1.982883949127072e-08,0.2828813860916297
2.024446509976802e-08,0.2828815993429985
2.066880249629082e-08,0.2828818170643369
2.110203428568597e-08,0.2828820393493419
2.154434690031882e-08,0.2828822662936741
2.199593068030075e-08,0.2828824979950002
2.245697995539776e-08,0.2828827345530336
2.292769312865649e-08,0.282882976069578
2.340827276178294e-08,0.2828832226485712
2.389892566231048e-08,0.28288347439613
2.43998629725955e-08,0.2828837314205954
2.491130026067791e-08,0.2828839938325795
2.543345761304648e-08,0.2828842617450131
2.596655972934873e-08,0.2828845352731945
2.651083601908536e-08,0.2828848145348388
2.706652070033241e-08,0.2828850996501286
2.763385290053173e-08,0.2828853907417663
2.821307675939471e-08,0.2828856879350257
2.880444153396298e-08,0.2828859913578075
2.940820170587061e-08,0.2828863011406929
3.002461709085549e-08,0.2828866174170008
3.06539529505653e-08,0.2828869403228449
3.12964801067075e-08,0.2828872699971918
3.195247505759214e-08,0.2828876065819219
3.262222009711667e-08,0.2828879502218891
3.330600343624589e-08,0.2828883010649845
3.40041193270371e-08,0.2828886592621991
3.471686818926559e-08,0.2828890249676892
3.544455673970436e-08,0.2828893983388429
3.618749812411276e-08,0.2828897795363474
3.694601205199302e-08,0.2828901687242585
3.772042493417001e-08,0.2828905660700712
3.851107002325569e-08,0.2828909717447919
3.93182875570577e-08,0.2828913859230116
4.014242490499318e-08,0.2828918087829816
4.098383671757262e-08,0.2828922405066897
4.184288507901584e-08,0.2828926812799391
4.271993966306777e-08,0.2828931312924279
4.361537789208006e-08,0.2828935907378312
4.45295850994266e-08,0.2828940598138842
