# StochasticModels, AIC/BIC_relative_difference(%)
Weibull, 0.00039591287372398287
Normal, 0.00046591578830008413
Exponential(LR), 0.00029703022245720245
Exponential(Me), 0.00020000567489817557
Pareto(LR), 0.000424883602386828
Pareto(MLH), 0.0004246231462323698
Cauchy, 0.0005967313620723999
