# AIC and BIC values
#AICandBICvalues
##Function,AIC,BIC
Weibull,-10996898.206909,-10996875.043248
Normal,-9348515.179408,-9348492.015747
Exponential(LR),7330806.301498,7330817.883328
Exponential(Me),-10889523.800052,-10889512.218221
Pareto(LR),-10245068.530011,-10245045.366351
Pareto(MLH),-10251520.616818,-10251497.453157
Cauchy,7146787.451468,7146810.615129
