#Exponential - Cost J(iterations) convergence
#iterations, J(iterations)
1,0.9928843121662607
2,0.982935645911685
3,0.9731849580661682
4,0.9636283088589411
5,0.9542618369205214
6,0.9450817577226195
7,0.936084362049286
8,0.92726601449785
9,0.9186231520102321
10,0.910152282433042
11,0.9018499831070249
12,0.8937128994834996
13,0.8857377437697106
14,0.8779212935997355
15,0.8702603907326695
16,0.8627519397769245
17,0.8553929069389622
18,0.8481803187978529
19,0.8411112611036069
20,0.8341828776000764
21,0.8273923688702886
22,0.8207369912060032
23,0.8142140554985347
24,0.8078209261526574
25,0.8015550200213414
26,0.7954138053622967
27,0.7893948008148478
28,0.7834955743973799
29,0.7777137425249007
30,0.7720469690453995
31,0.7664929642967875
32,0.7610494841808183
33,0.7557143292571842
34,0.7504853438539727
35,0.7453604151977146
36,0.7403374725586457
37,0.7354144864147725
38,0.7305894676316869
39,0.7258604666584606
40,0.7212255727404985
41,0.7166829131470444
42,0.7122306524149215
43,0.7078669916063919
44,0.7035901675827604
45,0.699398452291866
46,0.6952901520695922
47,0.6912636069558926
48,0.6873171900237405
49,0.6834493067222475
50,0.6796583942318813
51,0.6759429208332848
52,0.6723013852882501
53,0.6687323162334367
54,0.6652342715853454
55,0.6618058379580916
56,0.6584456300922283
57,0.6551522902949635
58,0.6519244878913908
59,0.6487609186872529
60,0.6456603044417774
61,0.6426213923509108
62,0.6396429545418223
63,0.636723787575972
64,0.6338627119635157
65,0.6310585716863166
66,0.6283102337311099
67,0.6256165876313606
68,0.6229765450190728
69,0.6203890391848029
70,0.6178530246463576
71,0.6153674767269561
72,0.6129313911405998
73,0.6105437835866865
74,0.608203689352425
75,0.6059101629225647
76,0.603662277597482
77,0.6014591251192927
78,0.5992998153041288
79,0.5971834756828147
80,0.5951092511484098
81,0.5930763036105368
82,0.5910838116569729
83,0.589130970221358
84,0.5872169902583427
85,0.5853410984244508
86,0.5835025367657455
87,0.5817005624118897
88,0.5799344472749959
89,0.5782034777569804
90,0.5765069544596588
91,0.5748441919031911
92,0.5732145182488118
93,0.5716172750272039
94,0.5700518168727411
95,0.5685175112625253
96,0.567013738260541
97,0.5655398902681058
98,0.5640953717772916
99,0.562679599131098
100,0.5612920002869579
101,0.5599320145862422
102,0.5585990925272608
103,0.5572926955434593
104,0.5560122957858699
105,0.5547573759094988
106,0.5535274288646549
107,0.5523219576919765
