#Mean
#Distribution, Mean, Error
Original       ,0.000379,0.000000
Weibull        ,0.002160,0.000002
Normal         ,0.000495,0.000000
Exponential(LR),0.012915,0.000000
Exponential(Me),0.000379,0.000000
Pareto(LR)     ,0.002378,0.000003
Pareto(MLH)    ,0.002742,0.000003
Cauchy         ,0.001025,0.000002
