#Standard Deviation
#Distribution, StdDev, Error
Original       ,0.000660,0.000000
Weibull        ,0.004688,0.000002
Normal         ,0.000505,0.000000
Exponential(LR),0.000117,0.000002
Exponential(Me),0.000379,0.000000
Pareto(LR)     ,0.005776,0.000002
Pareto(MLH)    ,0.006126,0.000002
Cauchy         ,0.004384,0.000002
