#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
5.831305113526218e-05,0.006570215397038726
5.95353313081437e-05,0.006707468574675524
6.078323128297237e-05,0.006847579106430079
6.2057288067765e-05,0.006990606058495663
6.335804992658241e-05,0.00713660970033303
6.468607661546321e-05,0.00728565152842986
6.604193962330305e-05,0.007437794290495736
6.742622241778349e-05,0.007593102010102326
6.883952069645496e-05,0.007751640011771754
7.028244264308338e-05,0.00791347494652328
7.175560918936922e-05,0.008078674817882492
7.32596542821523e-05,0.008247309008361126
7.479522515621829e-05,0.008419448306413502
7.636298261282242e-05,0.008595164933876687
7.79636013040522e-05,0.008774532573901372
7.959777002314978e-05,0.008957626399380136
8.126619200091945e-05,0.00914452310187841
8.296958520834916e-05,0.009335300921077927
8.470868266557403e-05,0.009530039674736535
8.648423275731709e-05,0.009728820789172699
8.829699955494083e-05,0.00993172733028036
9.014776314524917e-05,0.01013884403508225
9.203731996618231e-05,0.01035025734382677
9.39664831495469e-05,0.01056605543263556
9.593608287093147e-05,0.010786328246709
9.794696670695385e-05,0.0110111675340947
0.0001,0.01124066688002678
0.0001020960662306048,0.01147492174184084
0.0001042360673976401,0.01171402948447209
0.0001064209244064725,0.01195808941654208
0.0001086515774652537,0.01220720282703935
0.0001109289864895223,0.01246147302260137
0.0001132541315152813,0.0127210053654021
0.0001156280131207375,0.01298590731165139
0.0001180516528568806,0.01325628845071081
0.0001205260936870841,0.01353226054483225
0.0001230524004359262,0.01381393756952354
0.0001256316602474122,0.01410143575454503
0.000128264983052806,0.01439487362554315
0.0001309535020482668,0.01469437204632462
0.0001336983741824945,0.01500005426177475
0.0001365007806546014,0.01531204594142344
0.0001393619274224143,0.01563047522366368
0.0001422830457214352,0.0159554727606237
0.0001452653925946781,0.01628717176369643
0.0001483102514336103,0.01662570804972885
0.0001514189325304352,0.01697122008787166
0.0001545927736419478,0.01732384904709228
0.0001578331405652116,0.01768373884435148
0.000161141427725302,0.01805103619344406
0.0001645190587753661,0.01842589065450306
0.0001679674872092653,0.01880845468416836
0.0001714881969870541,0.01919888368641665
0.0001750827031735723,0.01959733606405245
0.0001787525525904235,0.02000397327085746
0.0001824993244816151,0.02041895986439346
0.000186324631193156,0.02084246355945796
0.0001902301188668946,0.02127465528218531
0.0001942174681489025,0.0217157092247886
0.0001982883949127071,0.02216580290093739
0.0002024446509976802,0.0226251172017613
0.0002066880249629082,0.02309383645247531
0.0002110203428568597,0.02357214846961264
0.0002154434690031882,0.02406024461886058
0.0002199593068030075,0.02455831987348345
0.0002245697995539772,0.02506657287332259
0.0002292769312865649,0.0255852059843602
0.0002340827276178294,0.02611442535883013
0.0002389892566231048,0.02665444099586178
0.000243998629725955,0.02720546680263825
0.0002491130026067791,0.02776772065604938
0.0002543345761304648,0.02834142446482113
0.0002596655972934873,0.02892680423209681
0.0002651083601908536,0.02952409011844759
