#Pareto aproximation (linear regression) vs Original set
#ParetoLr(x), ParetoLr(CDF) 
1e-08,0
1.020960662306048e-08,0
1.042360673976401e-08,0
1.064209244064725e-08,0
1.086515774652537e-08,0
1.109289864895223e-08,0
1.132541315152813e-08,0
1.156280131207375e-08,0
1.180516528568806e-08,0
1.205260936870841e-08,0
1.230524004359262e-08,0
1.256316602474122e-08,0
1.28264983052806e-08,0
1.309535020482668e-08,0
1.336983741824945e-08,0
1.365007806546014e-08,0
1.393619274224144e-08,0
1.422830457214352e-08,0
1.452653925946781e-08,0
1.483102514336103e-08,0
1.514189325304352e-08,0
1.545927736419478e-08,0
1.578331405652117e-08,0
1.61141427725302e-08,0
1.645190587753661e-08,0
1.679674872092653e-08,0
1.714881969870541e-08,0
1.750827031735723e-08,0
1.787525525904235e-08,0
1.824993244816151e-08,0
1.86324631193156e-08,0
1.902301188668946e-08,0
1.942174681489025e-08,0
1.982883949127072e-08,0
2.024446509976802e-08,0
2.066880249629082e-08,0
2.110203428568597e-08,0
2.154434690031882e-08,0
2.199593068030075e-08,0
2.245697995539776e-08,0
2.292769312865649e-08,0
2.340827276178294e-08,0
2.389892566231048e-08,0
2.43998629725955e-08,0
2.491130026067791e-08,0
2.543345761304648e-08,0
2.596655972934873e-08,0
2.651083601908536e-08,0
2.706652070033241e-08,0
2.763385290053173e-08,0
2.821307675939471e-08,0
2.880444153396298e-08,0
2.940820170587061e-08,0
3.002461709085549e-08,0
3.06539529505653e-08,0
3.12964801067075e-08,0
3.195247505759214e-08,0
3.262222009711667e-08,0
3.330600343624589e-08,0
3.40041193270371e-08,0
3.471686818926559e-08,0
3.544455673970436e-08,0
3.618749812411276e-08,0
3.694601205199302e-08,0
3.772042493417001e-08,0
3.851107002325569e-08,0
3.93182875570577e-08,0
4.014242490499318e-08,0
4.098383671757262e-08,0
4.184288507901584e-08,0
4.271993966306777e-08,0
4.361537789208006e-08,0
4.45295850994266e-08,0
4.546295469532399e-08,0
4.641588833612782e-08,0
4.738879609717651e-08,0
4.838209664925958e-08,0
4.939621743878326e-08,0
5.043159487171359e-08,0.002156289670578349
5.148867450137498e-08,0.007341442711739643
5.256791122018419e-08,0.01249965184196322
5.366976945540476e-08,0.01763105707145463
5.479472336900293e-08,0.02273579768287426
5.594325706169378e-08,0.02781401223512048
5.711586478126435e-08,0.03286583856709102
5.831305113526219e-08,0.03789141380142191
5.95353313081437e-08,0.04289087434821226
6.078323128297236e-08,0.04786435590872451
6.2057288067765e-08,0.05281199347906862
6.335804992658255e-08,0.0577339213538679
6.46860766154632e-08,0.06263027312990066
6.604193962330306e-08,0.06750118170973063
6.742622241778349e-08,0.07234677930531086
6.883952069645497e-08,0.07716719744157363
7.028244264308353e-08,0.08196256696000193
7.175560918936921e-08,0.08673301802217803
7.32596542821523e-08,0.09147868011331972
7.479522515621828e-08,0.09619968204579166
7.636298261282242e-08,0.1008961519626038
7.796360130405237e-08,0.1055682173408902
7.959777002314978e-08,0.1102160049953662
8.126619200091946e-08,0.1148396410817748
8.296958520834915e-08,0.1194392511003066
8.470868266557402e-08,0.1240149598990089
8.648423275731727e-08,0.1285668916771747
8.829699955494083e-08,0.1330951699887116
9.014776314524918e-08,0.1375999177454986
9.20373199661823e-08,0.142081257220719
9.396648314954691e-08,0.1465393100521811
9.593608287093146e-08,0.1509741972456211
9.794696670695386e-08,0.1553860391779839
1e-07,0.1597749556006947
1.020960662306048e-07,0.1641410656429062
1.042360673976401e-07,0.1684844878147334
1.064209244064725e-07,0.1728053400104713
1.086515774652537e-07,0.1771037395117927
1.109289864895223e-07,0.1813798029909341
1.132541315152813e-07,0.1856336465138604
1.156280131207375e-07,0.189865385543416
1.180516528568806e-07,0.1940751349424605
1.205260936870841e-07,0.198263008976983
1.230524004359261e-07,0.2024291213192074
1.256316602474121e-07,0.206573585050675
1.28264983052806e-07,0.2106965126653149
1.309535020482668e-07,0.2147980160724982
1.336983741824945e-07,0.218878206600074
1.365007806546014e-07,0.222937194997393
1.393619274224144e-07,0.226975091438312
1.422830457214352e-07,0.2309920055241846
1.452653925946781e-07,0.2349880462868379
1.483102514336103e-07,0.2389633221915289
1.514189325304352e-07,0.2429179411398923
1.545927736419479e-07,0.2468520104728654
1.578331405652117e-07,0.2507656369736042
1.61141427725302e-07,0.2546589268703819
1.645190587753661e-07,0.2585319858394707
1.679674872092653e-07,0.2623849190080116
1.714881969870541e-07,0.2662178309568671
1.750827031735723e-07,0.2700308257234598
1.787525525904236e-07,0.2738240068045977
1.824993244816151e-07,0.2775974771592808
1.86324631193156e-07,0.2813513392114989
1.902301188668946e-07,0.2850856948530089
1.942174681489024e-07,0.2888006454461017
1.982883949127071e-07,0.2924962918263546
2.024446509976802e-07,0.2961727343053657
2.066880249629082e-07,0.2998300726734794
2.110203428568597e-07,0.3034684062024929
2.154434690031882e-07,0.3070878336483515
2.199593068030075e-07,0.3106884532538303
2.245697995539772e-07,0.3142703627511986
2.292769312865649e-07,0.3178336593648748
2.340827276178294e-07,0.321378439814064
2.389892566231048e-07,0.324904800315383
2.43998629725955e-07,0.3284128365854744
2.491130026067786e-07,0.3319026438436007
2.543345761304648e-07,0.335374316814233
2.596655972934872e-07,0.3388279497296189
2.651083601908536e-07,0.3422636363323417
2.706652070033241e-07,0.3456814698778654
2.763385290053167e-07,0.349081543137064
2.82130767593947e-07,0.3524639483987423
2.880444153396298e-07,0.3558287774721384
2.940820170587061e-07,0.3591761216894165
3.002461709085549e-07,0.3625060719081475
3.065395295056524e-07,0.3658187185137726
3.12964801067075e-07,0.3691141514220586
3.195247505759214e-07,0.3723924600815375
3.262222009711673e-07,0.3756537334759348
3.330600343624589e-07,0.3788980601265841
3.400411932703703e-07,0.3821255280948317
3.471686818926559e-07,0.385336224984425
3.544455673970435e-07,0.3885302379438909
3.618749812411284e-07,0.3917076536689013
3.694601205199302e-07,0.3948685584046261
3.772042493416994e-07,0.3980130379480752
3.851107002325569e-07,0.4011411776504265
3.93182875570577e-07,0.4042530624193418
4.014242490499326e-07,0.407348776721273
4.098383671757261e-07,0.4104284045837534
4.184288507901585e-07,0.4134920295976803
4.271993966306776e-07,0.4165397349195814
4.361537789208006e-07,0.4195716032738749
4.45295850994266e-07,0.4225877169551118
4.5462954695324e-07,0.4255881578302118
4.641588833612782e-07,0.4285730073406852
4.738879609717651e-07,0.431542346504842
4.838209664925957e-07,0.4344962559199935
4.939621743878326e-07,0.4374348157646375
5.043159487171359e-07,0.4403581058006353
5.148867450137498e-07,0.4432662053753784
5.25679112201842e-07,0.4461591934239394
5.366976945540476e-07,0.4490371484712173
5.479472336900293e-07,0.4519001486340667
5.594325706169378e-07,0.454748271623419
5.711586478126435e-07,0.4575815947463927
5.831305113526218e-07,0.4604001949083898
5.95353313081437e-07,0.4632041486151853
6.078323128297237e-07,0.4659935319750022
6.205728806776501e-07,0.4687684207005774
6.335804992658255e-07,0.4715288901112188
6.468607661546321e-07,0.4742750151348468
6.604193962330305e-07,0.4770068703100305
6.742622241778349e-07,0.4797245297880094
6.883952069645496e-07,0.4824280673347064
7.028244264308353e-07,0.4851175563327311
7.175560918936921e-07,0.4877930697833699
7.32596542821523e-07,0.4904546803085691
7.479522515621828e-07,0.4931024601529049
7.636298261282241e-07,0.4957364811855447
7.796360130405236e-07,0.4983568149021989
7.959777002314978e-07,0.5009635324270593
8.126619200091945e-07,0.5035567045147321
8.296958520834915e-07,0.5061364015521567
8.470868266557403e-07,0.5087026935605165
8.648423275731727e-07,0.5112556501971404
8.829699955494083e-07,0.5137953407573924
9.014776314524917e-07,0.5163218341765534
9.20373199661823e-07,0.5188351990316917
9.396648314954691e-07,0.5213355035435243
9.593608287093148e-07,0.5238228155782695
9.794696670695385e-07,0.5262972026494879
1e-06,0.5287587319199161
1.020960662306047e-06,0.5312074702032886
1.042360673976401e-06,0.5336434839661517
1.064209244064725e-06,0.5360668393296686
1.086515774652537e-06,0.5384776020714118
1.109289864895223e-06,0.5408758376271517
1.132541315152813e-06,0.5432616110926298
1.156280131207375e-06,0.5456349872253271
1.180516528568805e-06,0.5479960304462219
1.205260936870841e-06,0.5503448048415376
1.230524004359262e-06,0.5526813741644832
1.256316602474121e-06,0.5550058018369824
1.28264983052806e-06,0.5573181509513965
1.309535020482668e-06,0.5596184842722363
1.336983741824945e-06,0.5619068642378653
1.365007806546014e-06,0.5641833529621958
1.393619274224143e-06,0.5664480122363728
1.422830457214352e-06,0.568700903530453
1.452653925946781e-06,0.5709420879950731
1.483102514336103e-06,0.5731716264631083
1.514189325304352e-06,0.5753895794513253
1.545927736419479e-06,0.5775960071620235
1.57833140565212e-06,0.5797909694846697
1.61141427725302e-06,0.5819745259975232
1.645190587753661e-06,0.5841467359692541
1.679674872092653e-06,0.5863076583605513
1.714881969870541e-06,0.588457351825722
1.750827031735727e-06,0.5905958747142853
1.787525525904235e-06,0.592723285072555
