#Normal aproximation vs Original set
#Normal(x), Normal(CDF)
1e-08,0.4000694894063531
1.020960662306048e-08,0.4000694917240134
1.042360673976401e-08,0.4000694940902534
1.064209244064725e-08,0.4000694965060913
1.086515774652537e-08,0.4000694989725668
1.109289864895223e-08,0.4000695014907413
1.132541315152813e-08,0.4000695040616983
1.156280131207375e-08,0.4000695066865444
1.180516528568806e-08,0.4000695093664089
1.205260936870841e-08,0.4000695121024452
1.230524004359262e-08,0.4000695148958306
1.256316602474122e-08,0.4000695177477673
1.28264983052806e-08,0.4000695206594824
1.309535020482668e-08,0.4000695236322291
1.336983741824945e-08,0.4000695266672865
1.365007806546014e-08,0.4000695297659607
1.393619274224144e-08,0.4000695329295851
1.422830457214352e-08,0.4000695361595212
1.452653925946781e-08,0.400069539457159
1.483102514336103e-08,0.4000695428239173
1.514189325304352e-08,0.4000695462612452
1.545927736419478e-08,0.4000695497706218
1.578331405652117e-08,0.4000695533535573
1.61141427725302e-08,0.4000695570115934
1.645190587753661e-08,0.4000695607463045
1.679674872092653e-08,0.4000695645592975
1.714881969870541e-08,0.4000695684522134
1.750827031735723e-08,0.4000695724267275
1.787525525904235e-08,0.4000695764845499
1.824993244816151e-08,0.400069580627427
1.86324631193156e-08,0.4000695848571417
1.902301188668946e-08,0.4000695891755139
1.942174681489025e-08,0.4000695935844021
1.982883949127072e-08,0.4000695980857035
2.024446509976802e-08,0.4000696026813552
2.066880249629082e-08,0.4000696073733347
2.110203428568597e-08,0.4000696121636614
2.154434690031882e-08,0.4000696170543965
2.199593068030075e-08,0.4000696220476446
2.245697995539776e-08,0.4000696271455545
2.292769312865649e-08,0.40006963235032
2.340827276178294e-08,0.4000696376641809
2.389892566231048e-08,0.4000696430894238
2.43998629725955e-08,0.4000696486283834
2.491130026067791e-08,0.4000696542834433
2.543345761304648e-08,0.400069660057037
2.596655972934873e-08,0.4000696659516492
2.651083601908536e-08,0.4000696719698162
2.706652070033241e-08,0.4000696781141281
2.763385290053173e-08,0.4000696843872289
2.821307675939471e-08,0.400069690791818
2.880444153396298e-08,0.4000696973306517
2.940820170587061e-08,0.4000697040065435
3.002461709085549e-08,0.4000697108223666
3.06539529505653e-08,0.4000697177810538
3.12964801067075e-08,0.4000697248855998
3.195247505759214e-08,0.4000697321390618
3.262222009711667e-08,0.4000697395445612
3.330600343624589e-08,0.4000697471052849
3.40041193270371e-08,0.4000697548244863
3.471686818926559e-08,0.4000697627054873
3.544455673970436e-08,0.4000697707516794
3.618749812411276e-08,0.400069778966525
3.694601205199302e-08,0.4000697873535593
3.772042493417001e-08,0.4000697959163915
3.851107002325569e-08,0.4000698046587063
3.93182875570577e-08,0.4000698135842659
4.014242490499318e-08,0.4000698226969111
4.098383671757262e-08,0.4000698320005635
4.184288507901584e-08,0.4000698414992267
4.271993966306777e-08,0.4000698511969882
4.361537789208006e-08,0.4000698610980213
4.45295850994266e-08,0.4000698712065867
4.546295469532399e-08,0.4000698815270343
4.641588833612782e-08,0.4000698920638054
4.738879609717651e-08,0.4000699028214344
4.838209664925958e-08,0.4000699138045504
4.939621743878326e-08,0.4000699250178799
5.043159487171359e-08,0.4000699364662483
5.148867450137498e-08,0.4000699481545821
5.256791122018419e-08,0.4000699600879113
5.366976945540476e-08,0.400069972271371
5.479472336900293e-08,0.4000699847102043
5.594325706169378e-08,0.4000699974097638
5.711586478126435e-08,0.4000700103755146
5.831305113526219e-08,0.4000700236130363
5.95353313081437e-08,0.4000700371280252
6.078323128297236e-08,0.4000700509262975
6.2057288067765e-08,0.4000700650137908
6.335804992658255e-08,0.4000700793965674
6.46860766154632e-08,0.4000700940808167
6.604193962330306e-08,0.4000701090728577
6.742622241778349e-08,0.400070124379142
6.883952069645497e-08,0.4000701400062563
7.028244264308353e-08,0.4000701559609254
7.175560918936921e-08,0.4000701722500151
7.32596542821523e-08,0.4000701888805351
7.479522515621828e-08,0.400070205859642
7.636298261282242e-08,0.4000702231946425
7.796360130405237e-08,0.4000702408929961
7.959777002314978e-08,0.4000702589623193
8.126619200091946e-08,0.4000702774103877
8.296958520834915e-08,0.40007029624514
8.470868266557402e-08,0.4000703154746814
8.648423275731727e-08,0.4000703351072871
8.829699955494083e-08,0.4000703551514053
9.014776314524918e-08,0.4000703756156619
9.20373199661823e-08,0.4000703965088631
9.396648314954691e-08,0.40007041784
9.593608287093146e-08,0.4000704396182518
9.794696670695386e-08,0.4000704618529907
1e-07,0.4000704845537846
1.020960662306048e-07,0.4000705077304026
1.042360673976401e-07,0.4000705313928183
1.064209244064725e-07,0.4000705555512142
1.086515774652537e-07,0.4000705802159865
1.109289864895223e-07,0.4000706053977492
1.132541315152813e-07,0.4000706311073388
1.156280131207375e-07,0.4000706573558187
1.180516528568806e-07,0.4000706841544848
1.205260936870841e-07,0.4000707115148689
1.230524004359261e-07,0.4000707394487455
1.256316602474121e-07,0.4000707679681351
1.28264983052806e-07,0.4000707970853106
1.309535020482668e-07,0.4000708268128019
1.336983741824945e-07,0.4000708571634017
1.365007806546014e-07,0.4000708881501709
1.393619274224144e-07,0.4000709197864439
1.422830457214352e-07,0.4000709520858348
1.452653925946781e-07,0.400070985062243
1.483102514336103e-07,0.4000710187298593
1.514189325304352e-07,0.4000710531031719
1.545927736419479e-07,0.4000710881969727
1.578331405652117e-07,0.4000711240263637
1.61141427725302e-07,0.4000711606067633
1.645190587753661e-07,0.4000711979539132
1.679674872092653e-07,0.400071236083885
1.714881969870541e-07,0.4000712750130873
1.750827031735723e-07,0.4000713147582724
1.787525525904236e-07,0.400071355336544
1.824993244816151e-07,0.4000713967653643
1.86324631193156e-07,0.4000714390625611
1.902301188668946e-07,0.4000714822463365
1.942174681489024e-07,0.4000715263352736
1.982883949127071e-07,0.4000715713483454
2.024446509976802e-07,0.4000716173049222
2.066880249629082e-07,0.4000716642247809
2.110203428568597e-07,0.4000717121281124
2.154434690031882e-07,0.4000717610355309
2.199593068030075e-07,0.400071810968083
2.245697995539772e-07,0.4000718619472561
2.292769312865649e-07,0.4000719139949882
2.340827276178294e-07,0.4000719671336771
2.389892566231048e-07,0.4000720213861899
2.43998629725955e-07,0.4000720767758734
2.491130026067786e-07,0.4000721333265634
2.543345761304648e-07,0.4000721910625955
2.596655972934872e-07,0.4000722500088153
2.651083601908536e-07,0.4000723101905893
2.706652070033241e-07,0.4000723716338155
2.763385290053167e-07,0.400072434364935
2.82130767593947e-07,0.400072498410943
2.880444153396298e-07,0.4000725637994005
2.940820170587061e-07,0.4000726305584463
3.002461709085549e-07,0.4000726987168088
3.065395295056524e-07,0.400072768303819
3.12964801067075e-07,0.4000728393494223
3.195247505759214e-07,0.4000729118841919
3.262222009711673e-07,0.4000729859393418
3.330600343624589e-07,0.4000730615467404
3.400411932703703e-07,0.4000731387389241
3.471686818926559e-07,0.400073217549111
3.544455673970435e-07,0.4000732980112159
3.618749812411284e-07,0.4000733801598642
3.694601205199302e-07,0.4000734640304071
3.772042493416994e-07,0.4000735496589369
3.851107002325569e-07,0.4000736370823023
3.93182875570577e-07,0.4000737263381245
4.014242490499326e-07,0.4000738174648133
4.098383671757261e-07,0.4000739105015835
4.184288507901585e-07,0.4000740054884718
4.271993966306776e-07,0.4000741024663543
4.361537789208006e-07,0.4000742014769638
4.45295850994266e-07,0.4000743025629079
4.5462954695324e-07,0.4000744057676872
4.641588833612782e-07,0.4000745111357142
4.738879609717651e-07,0.4000746187123325
4.838209664925957e-07,0.4000747285438356
4.939621743878326e-07,0.4000748406774881
5.043159487171359e-07,0.4000749551615446
5.148867450137498e-07,0.4000750720452716
5.25679112201842e-07,0.4000751913789681
5.366976945540476e-07,0.4000753132139876
5.479472336900293e-07,0.4000754376027599
5.594325706169378e-07,0.4000755645988137
5.711586478126435e-07,0.4000756942567998
5.831305113526218e-07,0.4000758266325145
5.95353313081437e-07,0.4000759617829236
6.078323128297237e-07,0.4000760997661873
6.205728806776501e-07,0.4000762406416843
6.335804992658255e-07,0.4000763844700386
6.468607661546321e-07,0.4000765313131444
6.604193962330305e-07,0.4000766812341934
6.742622241778349e-07,0.4000768342977022
6.883952069645496e-07,0.4000769905695394
7.028244264308353e-07,0.4000771501169542
7.175560918936921e-07,0.4000773130086057
7.32596542821523e-07,0.4000774793145921
7.479522515621828e-07,0.4000776491064807
7.636298261282241e-07,0.4000778224573394
7.796360130405236e-07,0.4000779994417671
7.959777002314978e-07,0.4000781801359268
8.126619200091945e-07,0.4000783646175779
8.296958520834915e-07,0.4000785529661095
8.470868266557403e-07,0.4000787452625751
8.648423275731727e-07,0.400078941589727
8.829699955494083e-07,0.4000791420320521
9.014776314524917e-07,0.4000793466758082
9.20373199661823e-07,0.4000795556090613
9.396648314954691e-07,0.4000797689217232
9.593608287093148e-07,0.4000799867055906
9.794696670695385e-07,0.4000802090543841
1e-06,0.400080436063789
1.020960662306047e-06,0.4000806678314963
1.042360673976401e-06,0.4000809044572444
1.064209244064725e-06,0.4000811460428629
1.086515774652537e-06,0.4000813926923154
1.109289864895223e-06,0.4000816445117448
1.132541315152813e-06,0.4000819016095192
1.156280131207375e-06,0.4000821640962778
1.180516528568805e-06,0.4000824320849793
1.205260936870841e-06,0.4000827056909501
1.230524004359262e-06,0.4000829850319337
1.256316602474121e-06,0.4000832702281422
1.28264983052806e-06,0.4000835614023071
1.309535020482668e-06,0.4000838586797326
1.336983741824945e-06,0.4000841621883495
1.365007806546014e-06,0.4000844720587704
1.393619274224143e-06,0.4000847884243454
1.422830457214352e-06,0.40008511142122
1.452653925946781e-06,0.4000854411883936
1.483102514336103e-06,0.400085777867779
