#Pareto aproximation (maximum likehood) vs Original set
#ParetoMl(x), ParetoMl(CDF) 
1e-08,0
1.020960662306048e-08,0
1.042360673976401e-08,0
1.064209244064725e-08,0
1.086515774652537e-08,0
1.109289864895223e-08,0
1.132541315152813e-08,0
1.156280131207375e-08,0
1.180516528568806e-08,0
1.205260936870841e-08,0
1.230524004359262e-08,0
1.256316602474122e-08,0
1.28264983052806e-08,0
1.309535020482668e-08,0
1.336983741824945e-08,0
1.365007806546014e-08,0
1.393619274224144e-08,0
1.422830457214352e-08,0
1.452653925946781e-08,0
1.483102514336103e-08,0
1.514189325304352e-08,0
1.545927736419478e-08,0
1.578331405652117e-08,0
1.61141427725302e-08,0
1.645190587753661e-08,0
1.679674872092653e-08,0
1.714881969870541e-08,0
1.750827031735723e-08,0
1.787525525904235e-08,0
1.824993244816151e-08,0
1.86324631193156e-08,0
1.902301188668946e-08,0
1.942174681489025e-08,0
1.982883949127072e-08,0
2.024446509976802e-08,0
2.066880249629082e-08,0
2.110203428568597e-08,0
2.154434690031882e-08,0
2.199593068030075e-08,0
2.245697995539776e-08,0
2.292769312865649e-08,0
2.340827276178294e-08,0
2.389892566231048e-08,0
2.43998629725955e-08,0
2.491130026067791e-08,0
2.543345761304648e-08,0
2.596655972934873e-08,0
2.651083601908536e-08,0
2.706652070033241e-08,0
2.763385290053173e-08,0
2.821307675939471e-08,0
2.880444153396298e-08,0
2.940820170587061e-08,0
3.002461709085549e-08,0
3.06539529505653e-08,0
3.12964801067075e-08,0
3.195247505759214e-08,0
3.262222009711667e-08,0
3.330600343624589e-08,0
3.40041193270371e-08,0
3.471686818926559e-08,0
3.544455673970436e-08,0
3.618749812411276e-08,0
3.694601205199302e-08,0
3.772042493417001e-08,0
3.851107002325569e-08,0
3.93182875570577e-08,0
4.014242490499318e-08,0
4.098383671757262e-08,0
4.184288507901584e-08,0
4.271993966306777e-08,0
4.361537789208006e-08,0
4.45295850994266e-08,0
4.546295469532399e-08,0
4.641588833612782e-08,0
4.738879609717651e-08,0
4.838209664925958e-08,0
4.939621743878326e-08,0
5.043159487171359e-08,0.002909300067319376
5.148867450137498e-08,0.009896187544987223
5.256791122018419e-08,0.01683411598951035
5.366976945540476e-08,0.02372342847023745
5.479472336900293e-08,0.03056446565253423
5.594325706169378e-08,0.03735756581463101
5.711586478126435e-08,0.04410306486435189
5.831305113526219e-08,0.05080129635572039
5.95353313081437e-08,0.05745259150545801
6.078323128297236e-08,0.06405727920935844
6.2057288067765e-08,0.07061568605855217
6.335804992658255e-08,0.07712813635565841
6.46860766154632e-08,0.08359495213081636
6.604193962330306e-08,0.09001645315761475
6.742622241778349e-08,0.09639295696889905
6.883952069645497e-08,0.1027247788724752
7.028244264308353e-08,0.1090122319667032
7.175560918936921e-08,0.1152556271559739
7.32596542821523e-08,0.1214552731660896
7.479522515621828e-08,0.1276114765595235
7.636298261282242e-08,0.1337245417505822
7.796360130405237e-08,0.1397947710204596
7.959777002314978e-08,0.14582246453218
8.126619200091946e-08,0.1518079203454458
8.296958520834915e-08,0.1577514344313715
8.470868266557402e-08,0.1636533006871213
8.648423275731727e-08,0.1695138109504429
8.829699955494083e-08,0.1753332550140949
9.014776314524918e-08,0.181111920640181
9.20373199661823e-08,0.1868500935743753
9.396648314954691e-08,0.1925480575600539
9.593608287093146e-08,0.1982060943523268
9.794696670695386e-08,0.2038244837319668
1e-07,0.2094035035192483
1.020960662306048e-07,0.2149434295876816
1.042360673976401e-07,0.2204445358776556
1.064209244064725e-07,0.2259070944099854
1.086515774652537e-07,0.2313313752993599
1.109289864895223e-07,0.2367176467677023
1.132541315152813e-07,0.2420661751574302
1.156280131207375e-07,0.2473772249446266
1.180516528568806e-07,0.2526510587521198
1.205260936870841e-07,0.2578879373624661
1.230524004359261e-07,0.2630881197308489
1.256316602474121e-07,0.2682518629978805
1.28264983052806e-07,0.2733794225023184
1.309535020482668e-07,0.2784710517936928
1.336983741824945e-07,0.2835270026448414
1.365007806546014e-07,0.2885475250643624
1.393619274224144e-07,0.2935328673089739
1.422830457214352e-07,0.2984832758957912
1.452653925946781e-07,0.303398995614518
1.483102514336103e-07,0.308280269539548
1.514189325304352e-07,0.3131273390419878
1.545927736419479e-07,0.3179404438015887
1.578331405652117e-07,0.3227198218186013
1.61141427725302e-07,0.327465709425544
1.645190587753661e-07,0.3321783412988868
1.679674872092653e-07,0.3368579504706594
1.714881969870541e-07,0.341504768339971
1.750827031735723e-07,0.3461190246844535
1.787525525904236e-07,0.3507009476716261
1.824993244816151e-07,0.3552507638701731
1.86324631193156e-07,0.3597686982611523
1.902301188668946e-07,0.3642549742491162
1.942174681489024e-07,0.3687098136731605
1.982883949127071e-07,0.3731334368178949
2.024446509976802e-07,0.3775260624243327
2.066880249629082e-07,0.3818879077007109
2.110203428568597e-07,0.3862191883332277
2.154434690031882e-07,0.3905201184967088
2.199593068030075e-07,0.3947909108651998
2.245697995539772e-07,0.3990317766224792
2.292769312865649e-07,0.4032429254725048
2.340827276178294e-07,0.4074245656497799
2.389892566231048e-07,0.4115769039296518
2.43998629725955e-07,0.4157001456385375
2.491130026067786e-07,0.4197944946640739
2.543345761304648e-07,0.4238601534652033
2.596655972934872e-07,0.4278973230821812
2.651083601908536e-07,0.4319062031465193
2.706652070033241e-07,0.4358869918908576
2.763385290053167e-07,0.4398398861587641
2.82130767593947e-07,0.4437650814144721
2.880444153396298e-07,0.447662771752542
2.940820170587061e-07,0.4515331499074602
3.002461709085549e-07,0.4553764072631713
3.065395295056524e-07,0.4591927338625389
3.12964801067075e-07,0.4629823184167451
3.195247505759214e-07,0.4667453483146207
3.262222009711673e-07,0.4704820096319113
3.330600343624589e-07,0.474192487140479
3.400411932703703e-07,0.4778769643174395
3.471686818926559e-07,0.4815356233542339
3.544455673970435e-07,0.4851686451656376
3.618749812411284e-07,0.4887762093987067
3.694601205199302e-07,0.492358494441661
3.772042493416994e-07,0.495915677432706
3.851107002325569e-07,0.4994479342687912
3.93182875570577e-07,0.5029554396143072
4.014242490499326e-07,0.5064383669097239
4.098383671757261e-07,0.5098968883801661
4.184288507901585e-07,0.5133311750439309
4.271993966306776e-07,0.5167413967209419
4.361537789208006e-07,0.5201277220411497
4.45295850994266e-07,0.5234903184528672
4.5462954695324e-07,0.5268293522310518
4.641588833612782e-07,0.5301449884855269
4.738879609717651e-07,0.5334373911691457
4.838209664925957e-07,0.5367067230858995
4.939621743878326e-07,0.539953145898967
5.043159487171359e-07,0.5431768201387084
5.148867450137498e-07,0.5463779052106048
5.25679112201842e-07,0.5495565594031383
5.366976945540476e-07,0.5527129398956214
5.479472336900293e-07,0.5558472027659672
5.594325706169378e-07,0.5589595029984082
5.711586478126435e-07,0.562049994491161
5.831305113526218e-07,0.5651188300640337
5.95353313081437e-07,0.5681661614659858
6.078323128297237e-07,0.5711921393826289
6.205728806776501e-07,0.5741969134436797
6.335804992658255e-07,0.5771806322303594
6.468607661546321e-07,0.5801434432827384
6.604193962330305e-07,0.5830854931070348
6.742622241778349e-07,0.5860069271828567
6.883952069645496e-07,0.588907889970397
7.028244264308353e-07,0.5917885249175766
7.175560918936921e-07,0.594648974467137
7.32596542821523e-07,0.5974893800636858
7.479522515621828e-07,0.6003098821606878
7.636298261282241e-07,0.6031106202274126
7.796360130405236e-07,0.6058917327558313
7.959777002314978e-07,0.6086533572674623
8.126619200091945e-07,0.6113956303201744
8.296958520834915e-07,0.6141186875149375
8.470868266557403e-07,0.6168226635025278
8.648423275731727e-07,0.6195076919901881
8.829699955494083e-07,0.6221739057482363
9.014776314524917e-07,0.6248214366166338
9.20373199661823e-07,0.6274504155115022
9.396648314954691e-07,0.6300609724315984
9.593608287093148e-07,0.6326532364647428
9.794696670695385e-07,0.6352273357942013
1e-06,0.6377833977050256
1.020960662306047e-06,0.6403215485903453
1.042360673976401e-06,0.6428419139576188
1.064209244064725e-06,0.6453446184348401
1.086515774652537e-06,0.6478297857767
1.109289864895223e-06,0.650297538870707
1.132541315152813e-06,0.6527479997432624
1.156280131207375e-06,0.6551812895656952
1.180516528568805e-06,0.6575975286602547
1.205260936870841e-06,0.659996836506058
1.230524004359262e-06,0.6623793317450003
1.256316602474121e-06,0.66474513218762
1.28264983052806e-06,0.6670943548189247
1.309535020482668e-06,0.6694271158041767
1.336983741824945e-06,0.6717435304946358
1.365007806546014e-06,0.6740437134332644
1.393619274224143e-06,0.6763277783603909
1.422830457214352e-06,0.6785958382193337
1.452653925946781e-06,0.6808480051619872
1.483102514336103e-06,0.683084390554366
1.514189325304352e-06,0.6853051049821134
1.545927736419479e-06,0.6875102582559679
1.57833140565212e-06,0.6896999594171946
1.61141427725302e-06,0.6918743167429766
1.645190587753661e-06,0.694033437751769
1.679674872092653e-06,0.696177429208616
1.714881969870541e-06,0.6983063971304293
1.750827031735727e-06,0.7004204467912318
1.787525525904235e-06,0.7025196827273615
