#Mean
#Distribution, Mean, Error
Original       ,0.000002,0.000000
Weibull        ,0.000010,0.000000
Normal         ,0.000002,0.000000
Exponential(LR),0.000037,0.000000
Exponential(Me),0.000002,0.000000
Pareto(LR)     ,0.000037,0.000000
Pareto(MLH)    ,0.000006,0.000000
Cauchy         ,0.000002,0.000000
