#Standard Deviation
#Distribution, StdDev, Error
Original       ,0.000001,0.000000
Weibull        ,0.000016,0.000000
Normal         ,0.000001,0.000000
Exponential(LR),0.000000,0.000000
Exponential(Me),0.000002,0.000000
Pareto(LR)     ,0.000000,0.000000
Pareto(MLH)    ,0.000012,0.000000
Cauchy         ,0.000009,0.000000
