#Weibull aproximation vs Original set
#W(x), W(CDF) 
1e-08,0.5197196498374647
1.020960662306048e-08,0.5202780018839472
1.042360673976401e-08,0.520836588879533
1.064209244064725e-08,0.5213954098912359
1.086515774652537e-08,0.521954463983177
1.109289864895223e-08,0.5225137502165842
1.132541315152813e-08,0.5230732676497916
1.156280131207375e-08,0.5236330153382385
1.180516528568806e-08,0.5241929923344698
1.205260936870841e-08,0.5247531976881341
1.230524004359262e-08,0.5253136304459843
1.256316602474122e-08,0.5258742896518767
1.28264983052806e-08,0.5264351743467701
1.309535020482668e-08,0.5269962835687263
1.336983741824945e-08,0.5275576163529088
1.365007806546014e-08,0.5281191717315832
1.393619274224144e-08,0.5286809487341163
1.422830457214352e-08,0.5292429463869759
1.452653925946781e-08,0.5298051637137308
1.483102514336103e-08,0.5303675997350501
1.514189325304352e-08,0.5309302534687037
1.545927736419478e-08,0.5314931239295612
1.578331405652117e-08,0.5320562101295925
1.61141427725302e-08,0.5326195110778672
1.645190587753661e-08,0.5331830257805549
1.679674872092653e-08,0.5337467532409248
1.714881969870541e-08,0.534310692459346
1.750827031735723e-08,0.5348748424332872
1.787525525904235e-08,0.5354392021573169
1.824993244816151e-08,0.5360037706231031
1.86324631193156e-08,0.5365685468194146
1.902301188668946e-08,0.5371335297321195
1.942174681489025e-08,0.5376987183441864
1.982883949127072e-08,0.5382641116356842
2.024446509976802e-08,0.538829708583783
2.066880249629082e-08,0.5393955081627533
2.110203428568597e-08,0.5399615093439669
2.154434690031882e-08,0.5405277110958976
2.199593068030075e-08,0.5410941123841208
2.245697995539776e-08,0.5416607121713142
2.292769312865649e-08,0.5422275094172586
2.340827276178294e-08,0.5427945030788379
2.389892566231048e-08,0.5433616921100396
2.43998629725955e-08,0.5439290754619559
2.491130026067791e-08,0.5444966520827832
2.543345761304648e-08,0.5450644209178241
2.596655972934873e-08,0.545632380909487
2.651083601908536e-08,0.546200530997287
2.706652070033241e-08,0.5467688701178468
2.763385290053173e-08,0.5473373972048972
2.821307675939471e-08,0.5479061111892782
2.880444153396298e-08,0.5484750109989398
2.940820170587061e-08,0.5490440955589422
3.002461709085549e-08,0.5496133637914573
3.06539529505653e-08,0.5501828146157699
3.12964801067075e-08,0.5507524469482779
3.195247505759214e-08,0.5513222597024934
3.262222009711667e-08,0.5518922517890446
3.330600343624589e-08,0.5524624221156755
3.40041193270371e-08,0.5530327695872486
3.471686818926559e-08,0.5536032931057441
3.544455673970436e-08,0.554173991570263
3.618749812411276e-08,0.5547448638770272
3.694601205199302e-08,0.5553159089193809
3.772042493417001e-08,0.555887125587792
3.851107002325569e-08,0.5564585127698531
3.93182875570577e-08,0.5570300693502841
4.014242490499318e-08,0.5576017942109317
4.098383671757262e-08,0.558173686230772
4.184288507901584e-08,0.5587457442859121
