# AIC and BIC values
#AICandBICvalues
##Function,AIC,BIC
Weibull,-54615079.256826,-54615053.672969
Normal,-62371471.928112,-62371446.344255
Exponential(LR),56945383.311725,56945396.103653
Exponential(Me),-65822060.173111,-65822047.381183
Pareto(LR),90207150.048748,90207175.632604
Pareto(MLH),-62547329.191125,-62547303.607269
Cauchy,59954074.209801,59954099.793658
