#Normal aproximation vs Original set
#Normal(x), Normal(CDF)
1e-08,0.1776274433731836
1.020960662306048e-08,0.1776274444467813
1.042360673976401e-08,0.1776274455428824
1.064209244064725e-08,0.1776274466619585
1.086515774652537e-08,0.1776274478044911
1.109289864895223e-08,0.177627448970972
1.132541315152813e-08,0.1776274501619031
1.156280131207375e-08,0.177627451377797
1.180516528568806e-08,0.1776274526191768
1.205260936870841e-08,0.1776274538865767
1.230524004359262e-08,0.1776274551805422
1.256316602474122e-08,0.17762745650163
1.28264983052806e-08,0.1776274578504088
1.309535020482668e-08,0.1776274592274588
1.336983741824945e-08,0.1776274606333728
1.365007806546014e-08,0.1776274620687556
1.393619274224144e-08,0.177627463534225
1.422830457214352e-08,0.1776274650304116
1.452653925946781e-08,0.1776274665579593
1.483102514336103e-08,0.1776274681175254
1.514189325304352e-08,0.177627469709781
1.545927736419478e-08,0.1776274713354115
1.578331405652117e-08,0.1776274729951162
1.61141427725302e-08,0.1776274746896094
1.645190587753661e-08,0.1776274764196203
1.679674872092653e-08,0.1776274781858935
1.714881969870541e-08,0.1776274799891889
1.750827031735723e-08,0.1776274818302825
1.787525525904235e-08,0.1776274837099667
1.824993244816151e-08,0.1776274856290504
1.86324631193156e-08,0.1776274875883593
1.902301188668946e-08,0.1776274895887367
1.942174681489025e-08,0.1776274916310433
1.982883949127072e-08,0.177627493716158
2.024446509976802e-08,0.1776274958449781
2.066880249629082e-08,0.1776274980184198
2.110203428568597e-08,0.1776275002374182
2.154434690031882e-08,0.1776275025029283
2.199593068030075e-08,0.177627504815925
2.245697995539776e-08,0.1776275071774037
2.292769312865649e-08,0.1776275095883806
2.340827276178294e-08,0.1776275120498932
2.389892566231048e-08,0.1776275145630007
2.43998629725955e-08,0.1776275171287846
2.491130026067791e-08,0.1776275197483491
2.543345761304648e-08,0.1776275224228214
2.596655972934873e-08,0.1776275251533525
2.651083601908536e-08,0.1776275279411173
2.706652070033241e-08,0.1776275307873155
2.763385290053173e-08,0.177627533693172
2.821307675939471e-08,0.1776275366599372
2.880444153396298e-08,0.1776275396888878
2.940820170587061e-08,0.1776275427813272
3.002461709085549e-08,0.1776275459385862
3.06539529505653e-08,0.1776275491620236
3.12964801067075e-08,0.1776275524530263
3.195247505759214e-08,0.1776275558130107
3.262222009711667e-08,0.1776275592434226
3.330600343624589e-08,0.1776275627457383
3.40041193270371e-08,0.1776275663214648
3.471686818926559e-08,0.1776275699721411
3.544455673970436e-08,0.1776275736993378
3.618749812411276e-08,0.1776275775046593
3.694601205199302e-08,0.1776275813897428
3.772042493417001e-08,0.1776275853562603
3.851107002325569e-08,0.1776275894059187
3.93182875570577e-08,0.1776275935404606
4.014242490499318e-08,0.1776275977616654
4.098383671757262e-08,0.1776276020713495
4.184288507901584e-08,0.1776276064713675
4.271993966306777e-08,0.1776276109636128
4.361537789208006e-08,0.1776276155500188
4.45295850994266e-08,0.1776276202325588
4.546295469532399e-08,0.177627625013248
4.641588833612782e-08,0.1776276298941438
4.738879609717651e-08,0.1776276348773465
4.838209664925958e-08,0.1776276399650004
4.939621743878326e-08,0.1776276451592951
5.043159487171359e-08,0.1776276504624657
5.148867450137498e-08,0.1776276558767945
5.256791122018419e-08,0.1776276614046111
5.366976945540476e-08,0.1776276670482946
5.479472336900293e-08,0.1776276728102736
5.594325706169378e-08,0.1776276786930277
5.711586478126435e-08,0.1776276846990882
5.831305113526219e-08,0.1776276908310399
5.95353313081437e-08,0.1776276970915215
6.078323128297236e-08,0.1776277034832271
6.2057288067765e-08,0.1776277100089072
6.335804992658255e-08,0.1776277166713701
6.46860766154632e-08,0.1776277234734827
6.604193962330306e-08,0.1776277304181724
6.742622241778349e-08,0.1776277375084274
6.883952069645497e-08,0.1776277447472991
7.028244264308353e-08,0.1776277521379026
7.175560918936921e-08,0.1776277596834182
7.32596542821523e-08,0.1776277673870929
7.479522515621828e-08,0.1776277752522421
7.636298261282242e-08,0.1776277832822502
7.796360130405237e-08,0.1776277914805728
7.959777002314978e-08,0.1776277998507379
8.126619200091946e-08,0.1776278083963475
8.296958520834915e-08,0.1776278171210791
8.470868266557402e-08,0.177627826028687
8.648423275731727e-08,0.1776278351230046
8.829699955494083e-08,0.1776278444079454
9.014776314524918e-08,0.177627853887505
9.20373199661823e-08,0.1776278635657629
9.396648314954691e-08,0.1776278734468837
9.593608287093146e-08,0.1776278835351197
9.794696670695386e-08,0.1776278938348123
1e-07,0.1776279043503936
1.020960662306048e-07,0.1776279150863888
1.042360673976401e-07,0.1776279260474181
1.064209244064725e-07,0.1776279372381982
1.086515774652537e-07,0.1776279486635449
1.109289864895223e-07,0.177627960328375
1.132541315152813e-07,0.1776279722377081
1.156280131207375e-07,0.1776279843966692
1.180516528568806e-07,0.1776279968104908
1.205260936870841e-07,0.1776280094845149
1.230524004359261e-07,0.1776280224241955
1.256316602474121e-07,0.1776280356351009
1.28264983052806e-07,0.1776280491229164
1.309535020482668e-07,0.177628062893446
1.336983741824945e-07,0.1776280769526158
1.365007806546014e-07,0.1776280913064757
1.393619274224144e-07,0.1776281059612029
1.422830457214352e-07,0.1776281209231036
1.452653925946781e-07,0.1776281361986166
1.483102514336103e-07,0.1776281517943152
1.514189325304352e-07,0.1776281677169109
1.545927736419479e-07,0.1776281839732557
1.578331405652117e-07,0.1776282005703451
1.61141427725302e-07,0.1776282175153216
1.645190587753661e-07,0.1776282348154771
1.679674872092653e-07,0.1776282524782564
1.714881969870541e-07,0.1776282705112604
1.750827031735723e-07,0.1776282889222493
1.787525525904236e-07,0.177628307719146
1.824993244816151e-07,0.1776283269100393
1.86324631193156e-07,0.1776283465031878
1.902301188668946e-07,0.1776283665070231
1.942174681489024e-07,0.1776283869301535
1.982883949127071e-07,0.1776284077813678
2.024446509976802e-07,0.1776284290696389
2.066880249629082e-07,0.177628450804128
2.110203428568597e-07,0.1776284729941881
2.154434690031882e-07,0.1776284956493683
2.199593068030075e-07,0.177628518779418
2.245697995539772e-07,0.1776285423942908
2.292769312865649e-07,0.1776285665041491
2.340827276178294e-07,0.177628591119368
2.389892566231048e-07,0.1776286162505405
2.43998629725955e-07,0.1776286419084813
2.491130026067786e-07,0.177628668104232
2.543345761304648e-07,0.1776286948490655
2.596655972934872e-07,0.1776287221544909
2.651083601908536e-07,0.1776287500322589
2.706652070033241e-07,0.1776287784943664
2.763385290053167e-07,0.1776288075530613
2.82130767593947e-07,0.1776288372208488
2.880444153396298e-07,0.1776288675104961
2.940820170587061e-07,0.1776288984350378
3.002461709085549e-07,0.1776289300077818
3.065395295056524e-07,0.1776289622423152
3.12964801067075e-07,0.1776289951525095
3.195247505759214e-07,0.1776290287525272
3.262222009711673e-07,0.1776290630568277
3.330600343624589e-07,0.1776290980801734
3.400411932703703e-07,0.1776291338376361
3.471686818926559e-07,0.1776291703446036
3.544455673970435e-07,0.1776292076167862
3.618749812411284e-07,0.1776292456702235
3.694601205199302e-07,0.1776292845212913
3.772042493416994e-07,0.1776293241867089
3.851107002325569e-07,0.1776293646835456
3.93182875570577e-07,0.1776294060292288
4.014242490499326e-07,0.1776294482415512
4.098383671757261e-07,0.1776294913386784
4.184288507901585e-07,0.1776295353391567
4.271993966306776e-07,0.1776295802619212
4.361537789208006e-07,0.1776296261263041
4.45295850994266e-07,0.1776296729520425
4.5462954695324e-07,0.1776297207592875
4.641588833612782e-07,0.1776297695686123
4.738879609717651e-07,0.1776298194010216
4.838209664925957e-07,0.1776298702779604
4.939621743878326e-07,0.177629922221323
5.043159487171359e-07,0.1776299752534627
5.148867450137498e-07,0.1776300293972015
5.25679112201842e-07,0.1776300846758397
