#QQplot - Pareto(LR)
#Estimatedpoints(x), Empiricalsample(y), xrule yrule
5.004521325450745e-08,7.1e-05,0,0
5.016368213473789e-08,7.2e-05,0.0009159999999999999,0.0009159999999999999
5.030390019148495e-08,7.499999999999999e-05,0.001832,0.001832
5.034911162392825e-08,7.8e-05,0.002748,0.002748
5.061366088592281e-08,8.899999999999999e-05,0.003664,0.003664
5.243824949428031e-08,0.000105,0.00458,0.00458
5.249527135061524e-08,0.000444,0.005495999999999999,0.005495999999999999
5.289204410993796e-08,0.000968,0.006411999999999999,0.006411999999999999
5.346544612398348e-08,0.00144,0.007327999999999999,0.007327999999999999
5.46057036298044e-08,0.001454,0.008244,0.008244
5.491235582229006e-08,0.001459,0.00916,0.00916
5.523502882010496e-08,0.001459,0.010076,0.010076
5.537037689413429e-08,0.001468,0.010992,0.010992
5.595239946458683e-08,0.00147,0.011908,0.011908
5.691279621306374e-08,0.001483,0.012824,0.012824
5.725322200586339e-08,0.00152,0.01374,0.01374
5.747929967409737e-08,0.001543,0.014656,0.014656
5.774480919081906e-08,0.001944,0.015572,0.015572
5.7844530862044e-08,0.00197,0.016488,0.016488
5.784462084669035e-08,0.001992,0.017404,0.017404
5.79992331446479e-08,0.002002,0.01832,0.01832
5.804717016266084e-08,0.002476,0.019236,0.019236
5.819708927443366e-08,0.002484,0.020152,0.020152
5.882222834142386e-08,0.002505,0.021068,0.021068
5.905920853106493e-08,0.002945,0.021984,0.021984
5.921663354380729e-08,0.002982,0.0229,0.0229
5.923333567281816e-08,0.002986,0.023816,0.023816
5.98739571718459e-08,0.003022,0.024732,0.024732
5.998269401499319e-08,0.003456,0.025648,0.025648
6.014846406348747e-08,0.003458,0.026564,0.026564
6.067444005091633e-08,0.003467,0.02748,0.02748
6.155386253236921e-08,0.003475,0.028396,0.028396
6.16128093442851e-08,0.00348,0.029312,0.029312
6.261404888485369e-08,0.003481,0.030228,0.030228
6.435408848923433e-08,0.003485,0.031144,0.031144
6.475763894245045e-08,0.003967,0.03206,0.03206
6.507146712792123e-08,0.003988,0.032976,0.032976
6.581972933949159e-08,0.004007,0.033892,0.033892
6.612032279456467e-08,0.004018,0.034808,0.034808
6.666665948666345e-08,0.004027,0.035724,0.035724
6.667871627089902e-08,0.004474,0.03664,0.03664
6.719230543757169e-08,0.004484,0.037556,0.037556
6.795727991409009e-08,0.004493,0.038472,0.038472
6.828140142734766e-08,0.004513,0.039388,0.039388
6.896734293824353e-08,0.005057,0.040304,0.040304
7.116940316211954e-08,0.005466,0.04122,0.04122
7.238501339237302e-08,0.005472,0.042136,0.042136
7.407957157119851e-08,0.005497,0.043052,0.043052
7.456765685725505e-08,0.005978,0.04396799999999999,0.04396799999999999
7.473690526975636e-08,0.00599,0.04488399999999999,0.04488399999999999
7.572143045378548e-08,0.006461,0.04579999999999999,0.04579999999999999
7.704224394417061e-08,0.006477,0.04671599999999999,0.04671599999999999
7.757608644285356e-08,0.006495,0.04763199999999999,0.04763199999999999
7.905945933555359e-08,0.007025,0.04854799999999999,0.04854799999999999
7.966245680127146e-08,0.007486,0.04946399999999999,0.04946399999999999
8.074257901854962e-08,0.007493,0.05037999999999999,0.05037999999999999
8.155082072171061e-08,0.007985000000000001,0.05129599999999999,0.05129599999999999
8.185468248147769e-08,0.008009,0.05221199999999999,0.05221199999999999
8.26383392153988e-08,0.008019999999999999,0.05312799999999999,0.05312799999999999
8.369271349066877e-08,0.008491,0.05404399999999999,0.05404399999999999
8.462751232500945e-08,0.008494,0.05495999999999999,0.05495999999999999
8.525181121601363e-08,0.008996000000000001,0.055876,0.055876
8.640843802480853e-08,0.009008,0.056792,0.056792
8.654269598004241e-08,0.009031000000000001,0.057708,0.057708
8.655112097082703e-08,0.009497999999999999,0.058624,0.058624
8.728368773833867e-08,0.009521999999999999,0.05954,0.05954
8.738318949813669e-08,0.009528,0.060456,0.060456
8.878097234772318e-08,0.009531,0.061372,0.061372
9.095694908060332e-08,0.01001,0.062288,0.062288
9.163801727790423e-08,0.010036,0.063204,0.063204
9.275428872030999e-08,0.010486,0.06412,0.06412
9.341374199605196e-08,0.010516,0.065036,0.065036
9.415615219043353e-08,0.010998,0.065952,0.065952
9.785375673563541e-08,0.011015,0.066868,0.066868
9.805570000050659e-08,0.011023,0.067784,0.067784
9.842038485707097e-08,0.01103,0.0687,0.0687
9.856511064701901e-08,0.011036,0.069616,0.069616
1.006714711419144e-07,0.011491,0.070532,0.070532
1.034432047790265e-07,0.011499,0.071448,0.071448
1.049811799921605e-07,0.011518,0.072364,0.072364
1.064028256171722e-07,0.011535,0.07328,0.07328
1.066814423045716e-07,0.01201,0.074196,0.074196
1.074880409863982e-07,0.012508,0.075112,0.075112
1.075183066245756e-07,0.012542,0.076028,0.076028
1.106879315250178e-07,0.012995,0.076944,0.076944
1.11360549433943e-07,0.013013,0.07786,0.07786
1.128516082135565e-07,0.013025,0.078776,0.078776
1.129006848196057e-07,0.013486,0.079692,0.079692
1.131257373058753e-07,0.01355,0.080608,0.080608
1.161698511498967e-07,0.013992,0.081524,0.081524
1.166348044575978e-07,0.013996,0.08244,0.08244
1.178257810192988e-07,0.014004,0.083356,0.083356
1.183351506044266e-07,0.014503,0.084272,0.084272
1.221446194878617e-07,0.014505,0.085188,0.085188
1.237390896232249e-07,0.014515,0.086104,0.086104
1.253159911923652e-07,0.015032,0.08702,0.08702
1.287559717682411e-07,0.015508,0.08793599999999999,0.08793599999999999
1.301981536781759e-07,0.016003,0.08885199999999999,0.08885199999999999
