#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
2.066880249629082e-07,4.400818528371708e-06
2.110203428568597e-07,4.493062392252334e-06
2.154434690031882e-07,4.58723973972841e-06
2.199593068030075e-07,4.683391097715095e-06
2.245697995539772e-07,4.781557842226114e-06
2.292769312865649e-07,4.881782216803465e-06
2.340827276178294e-07,4.984107350280986e-06
2.389892566231048e-07,5.088577275547124e-06
2.43998629725955e-07,5.195236948418724e-06
2.491130026067786e-07,5.304132266847894e-06
2.543345761304648e-07,5.415310091128056e-06
2.596655972934872e-07,5.528818263433877e-06
2.651083601908536e-07,5.644705628915503e-06
2.706652070033241e-07,5.763022056570755e-06
2.763385290053167e-07,5.883818460339363e-06
2.82130767593947e-07,6.007146821751519e-06
2.880444153396298e-07,6.133060211577224e-06
2.940820170587061e-07,6.261612813140971e-06
3.002461709085549e-07,6.392859945192342e-06
3.065395295056524e-07,6.526858086441933e-06
3.12964801067075e-07,6.663664898876043e-06
3.195247505759214e-07,6.803339253402818e-06
3.262222009711673e-07,6.945941254832277e-06
3.330600343624589e-07,7.091532267633482e-06
3.400411932703703e-07,7.240174942579891e-06
3.471686818926559e-07,7.391933243727777e-06
3.544455673970435e-07,7.546872475505673e-06
3.618749812411284e-07,7.705059311580165e-06
3.694601205199302e-07,7.866561822611473e-06
3.772042493416994e-07,8.031449506340493e-06
3.851107002325569e-07,8.199793317009707e-06
3.93182875570577e-07,8.371665696338404e-06
4.014242490499326e-07,8.547140604053816e-06
4.098383671757261e-07,8.726293550198605e-06
4.184288507901585e-07,8.909201627660401e-06
4.271993966306776e-07,9.095943545145424e-06
4.361537789208006e-07,9.28659966081824e-06
4.45295850994266e-07,9.481252017495834e-06
4.5462954695324e-07,9.67998437750861e-06
4.641588833612782e-07,9.882882258449577e-06
4.738879609717651e-07,1.009003297103295e-05
4.838209664925957e-07,1.030152565539844e-05
4.939621743878326e-07,1.051745132041315e-05
5.043159487171359e-07,1.073790288230736e-05
5.148867450137498e-07,1.096297520475353e-05
5.25679112201842e-07,1.119276513983358e-05
5.366976945540476e-07,1.142737156978324e-05
5.479472336900293e-07,1.166689544906951e-05
5.594325706169378e-07,1.19114398482445e-05
5.711586478126435e-07,1.216110999835429e-05
5.831305113526218e-07,1.241601333579201e-05
5.95353313081437e-07,1.267625954903817e-05
6.078323128297237e-07,1.294196062540109e-05
6.205728806776501e-07,1.321323089942261e-05
6.335804992658255e-07,1.349018710217198e-05
6.468607661546321e-07,1.377294841120591e-05
6.604193962330305e-07,1.406163650208292e-05
6.742622241778349e-07,1.435637560054381e-05
6.883952069645496e-07,1.465729253613546e-05
7.028244264308353e-07,1.496451679650068e-05
7.175560918936921e-07,1.527818058355557e-05
7.32596542821523e-07,1.559841886977775e-05
7.479522515621828e-07,1.592536945671519e-05
7.636298261282241e-07,1.625917303427205e-05
7.796360130405236e-07,1.659997324099383e-05
7.959777002314978e-07,1.694791672590679e-05
8.126619200091945e-07,1.730315321180065e-05
8.296958520834915e-07,1.766583555951051e-05
8.470868266557403e-07,1.803611983364206e-05
8.648423275731727e-07,1.841416537007312e-05
8.829699955494083e-07,1.880013484389931e-05
9.014776314524917e-07,1.919419433971115e-05
9.20373199661823e-07,1.95965134234255e-05
9.396648314954691e-07,2.000726521456109e-05
9.593608287093148e-07,2.042662646128957e-05
9.794696670695385e-07,2.085477761604171e-05
1e-06,2.129190291344507e-05
1.020960662306047e-06,2.173819044937186e-05
1.042360673976401e-06,2.219383226220728e-05
1.064209244064725e-06,2.265902441511702e-05
1.086515774652537e-06,2.313396708031323e-05
1.109289864895223e-06,2.361886462554086e-05
1.132541315152813e-06,2.411392570200732e-05
1.156280131207375e-06,2.461936333353343e-05
1.180516528568805e-06,2.513539500914597e-05
1.205260936870841e-06,2.566224277567031e-05
1.230524004359262e-06,2.620013333398674e-05
1.256316602474121e-06,2.674929813606397e-05
1.28264983052806e-06,2.730997348510122e-05
1.309535020482668e-06,2.788240063633651e-05
1.336983741824945e-06,2.846682590185168e-05
1.365007806546014e-06,2.906350075548847e-05
1.393619274224143e-06,2.967268194209449e-05
1.422830457214352e-06,3.029463158688017e-05
1.452653925946781e-06,3.092961730899457e-05
1.483102514336103e-06,3.15779123365445e-05
1.514189325304352e-06,3.223979562361201e-05
1.545927736419479e-06,3.291555197071361e-05
1.57833140565212e-06,3.360547214736886e-05
1.61141427725302e-06,3.430985301666745e-05
1.645190587753661e-06,3.502899766372192e-05
1.679674872092653e-06,3.576321552523076e-05
1.714881969870541e-06,3.651282252337129e-05
1.750827031735727e-06,3.727814120080275e-05
1.787525525904235e-06,3.805950086033238e-05
1.82499324481615e-06,3.885723770602478e-05
1.86324631193156e-06,3.967169498775291e-05
1.902301188668946e-06,4.050322314919086e-05
1.942174681489028e-06,4.1352179978138e-05
1.982883949127071e-06,4.221893076106209e-05
2.024446509976802e-06,4.310384843930759e-05
2.066880249629082e-06,4.400731377018907e-05
2.110203428568597e-06,4.492971549074909e-05
2.154434690031886e-06,4.587145048451369e-05
2.199593068030075e-06,4.683292395235572e-05
2.245697995539772e-06,4.781454958724396e-05
2.292769312865649e-06,4.881674975132366e-05
2.340827276178294e-06,4.983995565843724e-05
2.389892566231052e-06,5.088460755886537e-05
2.43998629725955e-06,5.195115492917513e-05
2.491130026067786e-06,5.304005666506573e-05
2.543345761304648e-06,5.415178127921028e-05
2.596655972934872e-06,5.528680710242817e-05
2.651083601908542e-06,5.644562248952045e-05
2.706652070033241e-06,5.762872602921298e-05
2.763385290053167e-06,5.883662675842949e-05
2.821307675939471e-06,6.006984438178264e-05
2.880444153396298e-06,6.132890949406278e-05
2.940820170587067e-06,6.261436380960994e-05
3.002461709085549e-06,6.392676039401746e-05
3.065395295056524e-06,6.526666390305191e-05
3.129648010670751e-06,6.663465082479281e-05
3.195247505759214e-06,6.803130972765636e-05
3.262222009711673e-06,6.945724151363741e-05
3.330600343624589e-06,7.091305967643624e-05
3.400411932703702e-06,7.23993905653586e-05
3.47168681892656e-06,7.391687365498889e-05
3.544455673970436e-06,7.546616181930421e-05
3.618749812411284e-06,7.704792161311591e-05
3.694601205199302e-06,7.866283355861814e-05
3.772042493416993e-06,8.031159243715447e-05
3.851107002325569e-06,8.199490758920014e-05
3.93182875570577e-06,8.37135032181191e-05
4.014242490499326e-06,8.546811870235871e-05
4.098383671757261e-06,8.725950891286249e-05
4.184288507901576e-06,8.908844453769937e-05
4.271993966306777e-06,9.095571241324318e-05
4.361537789208005e-06,9.28621158627907e-05
4.45295850994266e-06,9.480847504150791e-05
4.5462954695324e-06,9.67956272890369e-05
4.641588833612773e-06,9.882442748954112e-05
4.738879609717651e-06,0.0001008957484393003
4.838209664925957e-06,0.0001030104812212995
4.939621743878326e-06,0.0001051695355889226
5.043159487171359e-06,0.0001073738403564173
5.148867450137487e-06,0.0001096243437983535
5.25679112201842e-06,0.0001119220140574084
5.366976945540476e-06,0.0001142678395597008
5.479472336900293e-06,0.0001166628294405614
5.594325706169378e-06,0.0001191080139771872
5.711586478126423e-06,0.0001216044450321752
5.831305113526219e-06,0.0001241531965052722
5.95353313081437e-06,0.0001267553647946729
6.078323128297237e-06,0.0001294120692684197
6.205728806776501e-06,0.0001321244527449084
6.335804992658241e-06,0.0001348936819846047
6.468607661546321e-06,0.000137720948190756
6.604193962330305e-06,0.0001406074675214253
6.742622241778349e-06,0.0001435544816121848
6.883952069645496e-06,0.0001465632581089116
7.028244264308338e-06,0.0001496350912130184
7.175560918936921e-06,0.0001527713022371202
7.32596542821523e-06,0.000155973240172802
7.479522515621829e-06,0.0001592422822694894
7.636298261282242e-06,0.0001625798346270857
7.796360130405221e-06,0.0001659873327987116
7.959777002314978e-06,0.0001694662424083226
8.126619200091945e-06,0.0001730180597792064
8.296958520834915e-06,0.0001766443125776895
8.470868266557402e-06,0.0001803465604681698
8.648423275731709e-06,0.0001841263957832462
8.829699955494083e-06,0.0001879854442078388
9.014776314524917e-06,0.0001919253654766306
9.20373199661823e-06,0.000195947854087275
9.396648314954691e-06,0.0002000546400273695
9.593608287093147e-06,0.0002042474895176394
9.794696670695386e-06,0.0002085282057699978
1e-05,0.0002128986297615931
1.020960662306048e-05,0.0002173606410251772
1.042360673976401e-05,0.0002219161584556817
1.064209244064725e-05,0.0002265671411343373
1.086515774652537e-05,0.0002313155891688901
1.109289864895223e-05,0.0002361635445521371
1.132541315152813e-05,0.0002411130920387805
1.156280131207375e-05,0.0002461663600391573
1.180516528568806e-05,0.0002513255215332855
1.205260936870841e-05,0.0002565927950028968
1.230524004359262e-05,0.0002619704453832306
1.256316602474121e-05,0.0002674607850347011
1.28264983052806e-05,0.0002730661747353258
1.309535020482668e-05,0.0002787890246926938
1.336983741824945e-05,0.0002846317955782496
1.365007806546014e-05,0.0002905969995826707
1.393619274224143e-05,0.0002966872014930066
1.422830457214352e-05,0.0003029050197931316
1.452653925946781e-05,0.0003092531277856247
1.483102514336103e-05,0.0003157342547391861
1.514189325304352e-05,0.0003223511870578122
1.545927736419479e-05,0.0003291067694760619
1.578331405652116e-05,0.0003360039062779707
1.61141427725302e-05,0.0003430455625426099
1.645190587753661e-05,0.0003502347654141813
1.679674872092653e-05,0.0003575746054000906
1.714881969870541e-05,0.0003650682376949987
1.750827031735727e-05,0.0003727188835327411
1.787525525904236e-05,0.0003805298315666672
1.82499324481615e-05,0.0003885044392786252
1.86324631193156e-05,0.0003966461344170336
1.902301188668946e-05,0.000404958416465484
1.942174681489028e-05,0.0004134448581409877
1.982883949127071e-05,0.0004221091069246397
