#Weibull aproximation vs Original set
#W(x), W(CDF) 
9.396648314954691e-08,0.0002090732228366976
9.593608287093146e-08,0.0002118746492973944
9.794696670695386e-08,0.0002147136087685686
1e-07,0.0002175906040020603
1.020960662306048e-07,0.000220506144481103
1.042360673976401e-07,0.0002234607465102512
1.064209244064725e-07,0.0002264549333068633
1.086515774652537e-07,0.0002294892350934719
1.109289864895223e-07,0.0002325641891913754
1.132541315152813e-07,0.0002356803401156737
1.156280131207375e-07,0.0002388382396715238
1.180516528568806e-07,0.00024203844705184
1.205260936870841e-07,0.0002452815289354371
1.230524004359261e-07,0.0002485680595880613
1.256316602474121e-07,0.0002518986209630869
1.28264983052806e-07,0.0002552738028048784
1.309535020482668e-07,0.0002586942027524852
1.336983741824945e-07,0.0002621604264458899
1.365007806546014e-07,0.0002656730876321456
1.393619274224144e-07,0.000269232808274622
1.422830457214352e-07,0.0002728402186622514
1.452653925946781e-07,0.0002764959575212167
1.483102514336103e-07,0.0002802006721276395
1.514189325304352e-07,0.000283955018421933
1.545927736419479e-07,0.0002877596611245981
1.578331405652117e-07,0.0002916152738535738
1.61141427725302e-07,0.0002955225392434757
1.645190587753661e-07,0.0002994821490657218
1.679674872092653e-07,0.000303494804351101
1.714881969870541e-07,0.0003075612155131191
1.750827031735723e-07,0.000311682102473898
1.787525525904236e-07,0.0003158581947909633
1.824993244816151e-07,0.0003200902317860299
1.86324631193156e-07,0.0003243789626757865
1.902301188668946e-07,0.0003287251467037899
1.942174681489024e-07,0.0003331295532746914
1.982883949127071e-07,0.0003375929620903495
2.024446509976802e-07,0.0003421161632868319
2.066880249629082e-07,0.0003466999575740815
2.110203428568597e-07,0.0003513451563776915
2.154434690031882e-07,0.0003560525819812366
2.199593068030075e-07,0.0003608230676721558
2.245697995539772e-07,0.0003656574578884131
2.292769312865649e-07,0.0003705566083676004
2.340827276178294e-07,0.0003755213862979279
2.389892566231048e-07,0.0003805526704707685
2.43998629725955e-07,0.0003856513514366444
2.491130026067786e-07,0.0003908183316614355
2.543345761304648e-07,0.0003960545256858072
2.596655972934872e-07,0.000401360860286748
2.651083601908536e-07,0.0004067382746409942
2.706652070033241e-07,0.0004121877204901203
2.763385290053167e-07,0.0004177101623090707
2.82130767593947e-07,0.0004233065774760236
2.880444153396298e-07,0.0004289779564443652
2.940820170587061e-07,0.0004347253029176601
3.002461709085549e-07,0.0004405496340267323
3.065395295056524e-07,0.0004464519805085221
3.12964801067075e-07,0.0004524333868880515
3.195247505759214e-07,0.0004584949116627213
3.262222009711673e-07,0.0004646376274881625
3.330600343624589e-07,0.0004708626213684175
3.400411932703703e-07,0.0004771709948462322
3.471686818926559e-07,0.0004835638641982332
3.544455673970435e-07,0.0004900423606306603
3.618749812411284e-07,0.0004966076304796507
3.694601205199302e-07,0.0005032608354121892
3.772042493416994e-07,0.0005100031526314996
3.851107002325569e-07,0.0005168357750842123
3.93182875570577e-07,0.0005237599116700853
4.014242490499326e-07,0.0005307767874555003
4.098383671757261e-07,0.0005378876438885127
4.184288507901585e-07,0.000545093739018343
4.271993966306776e-07,0.0005523963477159777
4.361537789208006e-07,0.0005597967618989896
4.45295850994266e-07,0.0005672962907592449
4.5462954695324e-07,0.0005748962609927188
4.641588833612782e-07,0.000582598017033753
4.738879609717651e-07,0.0005904029212909778
4.838209664925957e-07,0.0005983123543872315
4.939621743878326e-07,0.0006063277154030322
5.043159487171359e-07,0.0006144504221218261
5.148867450137498e-07,0.0006226819112801207
5.25679112201842e-07,0.0006310236388198387
5.366976945540476e-07,0.0006394770801447791
5.479472336900293e-07,0.0006480437303795217
5.594325706169378e-07,0.0006567251046327716
5.711586478126435e-07,0.0006655227382638129
5.831305113526218e-07,0.000674438187152071
5.95353313081437e-07,0.0006834730279708934
6.078323128297237e-07,0.0006926288584648832
6.205728806776501e-07,0.00070190729773012
6.335804992658255e-07,0.0007113099864993755
6.468607661546321e-07,0.000720838587429995
6.604193962330305e-07,0.0007304947853961075
6.742622241778349e-07,0.0007402802877846115
6.883952069645496e-07,0.0007501968247952684
7.028244264308353e-07,0.000760246149744348
7.175560918936921e-07,0.0007704300393727159
7.32596542821523e-07,0.0007807502941578059
7.479522515621828e-07,0.0007912087386295896
7.636298261282241e-07,0.0008018072216909866
7.796360130405236e-07,0.0008125476169422718
7.959777002314978e-07,0.0008234318230103677
8.126619200091945e-07,0.0008344617638814666
8.296958520834915e-07,0.0008456393892386505
8.470868266557403e-07,0.0008569666748045046
8.648423275731727e-07,0.000868445622686953
8.829699955494083e-07,0.0008800782617310876
9.014776314524917e-07,0.0008918666478744397
9.20373199661823e-07,0.0009038128645075805
9.396648314954691e-07,0.0009159190228397174
9.593608287093148e-07,0.0009281872622682874
9.794696670695385e-07,0.0009406197507543235
1e-06,0.0009532186852020397
1.020960662306047e-06,0.0009659862918440787
1.042360673976401e-06,0.0009789248266312001
1.064209244064725e-06,0.0009920365756276306
1.086515774652537e-06,0.001005323855411411
1.109289864895223e-06,0.001018789013479959
1.132541315152813e-06,0.001032434428661189
1.156280131207375e-06,0.001046262511529839
1.180516528568805e-06,0.00106027570482925
1.205260936870841e-06,0.001074476483899023
1.230524004359262e-06,0.001088867357108225
1.256316602474121e-06,0.001103450866293598
1.28264983052806e-06,0.001118229587204755
1.309535020482668e-06,0.001133206129954267
1.336983741824945e-06,0.001148383139474185
1.365007806546014e-06,0.001163763295978226
1.393619274224143e-06,0.001179349315430067
1.422830457214352e-06,0.001195143950018518
1.452653925946781e-06,0.001211149988637805
