#Empirical CDF function
#INTER_ARRIVAL_DATASET(x), INTER_ARRIVAL_CDF(y)
5e-08,0.003215434083601286
4e-05,0.006430868167202572
4.2e-05,0.009646302250803859
4.5e-05,0.01286173633440514
6.8e-05,0.01607717041800643
7.1e-05,0.01929260450160772
7.3e-05,0.022508038585209
7.7e-05,0.02572347266881029
8.8e-05,0.02893890675241157
0.000461,0.03215434083601286
0.000462,0.03536977491961415
0.000466,0.03858520900321544
0.000472,0.04180064308681673
0.00048,0.04501607717041801
0.000482,0.0482315112540193
0.000485,0.05144694533762059
0.000487,0.05466237942122188
0.000494,0.05787781350482317
0.000523,0.06109324758842446
0.000962,0.06430868167202575
0.0009959999999999999,0.06752411575562703
0.00146,0.07073954983922831
0.001487,0.07395498392282959
0.001501,0.07717041800643087
0.001966,0.08038585209003216
0.001982,0.08360128617363344
0.002453,0.08681672025723472
0.002476,0.09324758842443728
0.002476,0.09324758842443728
0.002479,0.09646302250803857
0.002484,0.09967845659163985
0.002501,0.1028938906752411
0.002987,0.1061093247588424
0.003002,0.1093247588424437
0.003412,0.112540192926045
0.003465,0.1157556270096463
0.003476,0.1189710610932475
0.003481,0.1221864951768488
0.003486,0.1254019292604501
0.003499,0.1286173633440514
0.003523,0.1318327974276527
0.003961,0.1350482315112539
0.003982,0.1382636655948552
0.003987,0.1414790996784565
0.004455,0.1446945337620578
0.004462,0.1479099678456591
0.004474,0.1511254019292604
0.00448,0.1543408360128616
0.00449,0.1575562700964629
0.004953,0.1607717041800642
0.004975,0.1639871382636655
0.004976,0.1672025723472668
0.004978,0.170418006430868
0.005479,0.1736334405144693
0.005493,0.1768488745980706
0.005959,0.1800643086816719
0.005969,0.1832797427652732
0.005982,0.1864951768488745
0.005984,0.1897106109324757
0.0065,0.192926045016077
0.006518,0.1961414790996783
0.006521,0.1993569131832796
0.00747,0.2025723472668809
0.008,0.2057877813504821
0.008015,0.2090032154340834
0.008484999999999999,0.2122186495176847
0.008501,0.215434083601286
0.008503,0.2186495176848873
0.008983,0.2218649517684886
0.009037999999999999,0.2250803858520898
0.009486,0.2282958199356911
0.009505,0.2315112540192924
0.009508000000000001,0.2347266881028937
0.009991999999999999,0.237942122186495
0.01001,0.2411575562700962
0.01048,0.2443729903536975
0.010488,0.2475884244372988
0.010496,0.2508038585209001
0.01051,0.2540192926045014
0.010519,0.2572347266881027
0.012021,0.260450160771704
0.012023,0.2636655948553053
0.012498,0.2668810289389066
0.012924,0.2700964630225079
0.01348,0.2733118971061093
0.013536,0.2765273311897106
0.013977,0.2797427652733119
0.013992,0.2829581993569132
0.014008,0.2861736334405145
0.014009,0.2893890675241158
0.014026,0.2926045016077171
0.01404,0.2958199356913184
0.014041,0.2990353697749197
0.014485,0.302250803858521
0.014512,0.3054662379421224
0.014535,0.3086816720257237
0.015006,0.311897106109325
0.01502,0.3151125401929263
0.015042,0.3183279742765276
0.015489,0.3215434083601289
0.016028,0.3247588424437302
0.016498,0.3279742765273315
0.016508,0.3311897106109328
0.016537,0.3344051446945341
0.017026,0.3376205787781354
0.01703,0.3408360128617368
0.017509,0.3440514469453381
0.018028,0.3472668810289394
0.018036,0.3504823151125407
0.018529,0.353697749196142
0.018539,0.3569131832797433
0.018541,0.3601286173633446
0.01901,0.3633440514469459
0.019027,0.3665594855305472
0.019045,0.3697749196141485
0.019554,0.3729903536977499
0.020011,0.3762057877813512
0.020014,0.3794212218649525
0.020505,0.3826366559485538
0.02053,0.3858520900321551
0.020541,0.3890675241157564
0.021007,0.3922829581993577
0.021014,0.395498392282959
0.021026,0.3987138263665603
0.021031,0.4019292604501616
0.021537,0.405144694533763
0.022022,0.4083601286173643
0.022516,0.4115755627009656
0.022524,0.4147909967845669
0.022594,0.4180064308681682
0.024016,0.4212218649517695
0.024034,0.4244372990353708
0.024052,0.4276527331189721
0.024071,0.4308681672025734
0.024526,0.4340836012861747
0.025031,0.437299035369776
0.02506,0.4405144694533774
0.025547,0.4437299035369787
0.025555,0.44694533762058
0.026038,0.4501607717041813
0.026057,0.4533762057877826
0.027043,0.4565916398713839
0.027061,0.4598070739549852
0.027072,0.4630225080385865
0.027519,0.4662379421221878
0.027523,0.4694533762057891
0.027539,0.4726688102893905
0.027561,0.4758842443729918
0.028038,0.4790996784565931
0.028539,0.4823151125401944
0.028557,0.4855305466237957
0.030035,0.488745980707397
0.030042,0.4919614147909983
0.030049,0.4951768488745996
0.031484,0.4983922829582009
0.031512,0.5016077170418022
0.031517,0.5048231511254034
0.031534,0.5080385852090047
0.031562,0.5112540192926059
0.032037,0.5144694533762072
0.032533,0.5176848874598085
0.032556,0.5209003215434097
0.033038,0.524115755627011
0.033043,0.5273311897106122
0.033548,0.5305466237942135
0.03355,0.5337620578778147
0.034037,0.536977491961416
0.034042,0.5401929260450172
0.03457,0.5434083601286185
0.034575,0.5466237942122197
0.03542,0.549839228295821
0.035532,0.5530546623794222
0.035587,0.5562700964630235
0.0356,0.5594855305466248
0.036076,0.562700964630226
0.036549,0.5659163987138273
0.037047,0.5691318327974285
0.037061,0.5723472668810298
0.037074,0.575562700964631
0.038043,0.5787781350482323
0.038048,0.5819935691318335
0.03805,0.5852090032154348
0.038619,0.588424437299036
0.039067,0.5916398713826373
0.039069,0.5948553054662385
0.039072,0.5980707395498398
0.040035,0.6012861736334411
0.040595,0.6045016077170423
0.042045,0.6077170418006436
0.04258,0.6109324758842448
0.044078,0.6141479099678461
0.044086,0.6173633440514473
0.044522,0.6205787781350486
0.045042,0.6237942122186498
0.045495,0.6270096463022511
