#Standard Deviation
#Distribution, StdDev, Error
Original       ,2.630664,0.000000
Weibull        ,3.919599,0.406812
Normal         ,0.162796,0.008551
Exponential(LR),0.064115,0.004791
Exponential(Me),0.137253,0.013516
Pareto(LR)     ,0.067628,0.104160
Pareto(MLH)    ,4.868496,0.393805
Cauchy         ,0.000235,0.000278
