#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
3.618749812411276e-08,2.572352664209632e-07
3.694601205199302e-08,2.626270871886049e-07
3.772042493417001e-08,2.681319242192615e-07
3.851107002325569e-08,2.737521460627335e-07
3.93182875570577e-08,2.794901715619247e-07
4.014242490499318e-08,2.853484698528419e-07
4.098383671757262e-08,2.913295619189071e-07
4.184288507901584e-08,2.974360215901584e-07
4.271993966306777e-08,3.036704766534726e-07
4.361537789208006e-08,3.100356099627888e-07
4.45295850994266e-08,3.165341606603533e-07
4.546295469532399e-08,3.23168925286943e-07
4.641588833612782e-08,3.299427587810655e-07
4.738879609717651e-08,3.36858576366339e-07
4.838209664925958e-08,3.439193541066032e-07
4.939621743878326e-08,3.511281302381875e-07
5.043159487171359e-08,3.584880070572893e-07
5.148867450137498e-08,3.660021518081535e-07
5.256791122018419e-08,3.736737977932947e-07
5.366976945540476e-08,3.815062465939434e-07
5.479472336900293e-08,3.895028686251578e-07
5.594325706169378e-08,3.976671051342251e-07
5.711586478126435e-08,4.060024693108844e-07
5.831305113526219e-08,4.145125482857281e-07
5.95353313081437e-08,4.232010040183809e-07
6.078323128297236e-08,4.320715754069226e-07
6.2057288067765e-08,4.41128079731179e-07
6.335804992658255e-08,4.503744144290778e-07
6.46860766154632e-08,4.598145582068724e-07
6.604193962330306e-08,4.69452573703677e-07
6.742622241778349e-08,4.792926081575999e-07
6.883952069645497e-08,4.893388961813017e-07
7.028244264308353e-08,4.995957609832402e-07
7.175560918936921e-08,5.100676163660722e-07
7.32596542821523e-08,5.207589686140324e-07
7.479522515621828e-08,5.31674418602357e-07
7.636298261282242e-08,5.428186635736409e-07
7.796360130405237e-08,5.541964991362391e-07
7.959777002314978e-08,5.658128214847125e-07
8.126619200091946e-08,5.776726295092516e-07
8.296958520834915e-08,5.897810269051007e-07
8.470868266557402e-08,6.021432240599367e-07
8.648423275731727e-08,6.14764540940449e-07
8.829699955494083e-08,6.276504088686963e-07
9.014776314524918e-08,6.408063729645974e-07
9.20373199661823e-08,6.542380944773996e-07
9.396648314954691e-08,6.679513536722581e-07
9.593608287093146e-08,6.819520517176159e-07
9.794696670695386e-08,6.962462133497382e-07
1e-07,7.108399899813378e-07
1.020960662306048e-07,7.257396615889533e-07
1.042360673976401e-07,7.409516399325966e-07
1.064209244064725e-07,7.564824711092655e-07
1.086515774652537e-07,7.723388386615682e-07
1.109289864895223e-07,7.885275657981694e-07
1.132541315152813e-07,8.050556191685487e-07
1.156280131207375e-07,8.219301111944688e-07
1.180516528568806e-07,8.391583035116668e-07
1.205260936870841e-07,8.567476097454119e-07
1.230524004359261e-07,8.747055992852637e-07
1.256316602474121e-07,8.930399997275629e-07
1.28264983052806e-07,9.117587010942785e-07
1.309535020482668e-07,9.308697583865211e-07
1.336983741824945e-07,9.503813958033902e-07
1.365007806546014e-07,9.703020096285542e-07
1.393619274224144e-07,9.906401723380753e-07
1.422830457214352e-07,1.011404635931079e-06
1.452653925946781e-07,1.032604336037579e-06
1.483102514336103e-07,1.054248395360169e-06
1.514189325304352e-07,1.076346128114913e-06
1.545927736419479e-07,1.098907043473041e-06
1.578331405652117e-07,1.121940849890812e-06
1.61141427725302e-07,1.145457459772459e-06
1.645190587753661e-07,1.169466992689827e-06
1.679674872092653e-07,1.193979780822474e-06
1.714881969870541e-07,1.219006372510378e-06
1.750827031735723e-07,1.244557537583013e-06
1.787525525904236e-07,1.270644271245125e-06
1.824993244816151e-07,1.297277799405805e-06
1.86324631193156e-07,1.324469583341426e-06
1.902301188668946e-07,1.352231324247555e-06
1.942174681489024e-07,1.380574968790071e-06
1.982883949127071e-07,1.409512714101169e-06
2.024446509976802e-07,1.43905701288638e-06
2.066880249629082e-07,1.469220578753649e-06
2.110203428568597e-07,1.500016392097514e-06
2.154434690031882e-07,1.531457705095107e-06
2.199593068030075e-07,1.563558047812386e-06
2.245697995539772e-07,1.596331233866266e-06
2.292769312865649e-07,1.629791366530853e-06
2.340827276178294e-07,1.663952844510597e-06
2.389892566231048e-07,1.698830368601634e-06
2.43998629725955e-07,1.734438947353922e-06
2.491130026067786e-07,1.770793904287693e-06
2.543345761304648e-07,1.80791088377763e-06
2.596655972934872e-07,1.845805858269323e-06
2.651083601908536e-07,1.884495135162645e-06
2.706652070033241e-07,1.923995363251052e-06
2.763385290053167e-07,1.964323540715185e-06
2.82130767593947e-07,2.005497021895231e-06
2.880444153396298e-07,2.047533524618395e-06
2.940820170587061e-07,2.090451138525573e-06
3.002461709085549e-07,2.134268332176781e-06
3.065395295056524e-07,2.179003961266801e-06
3.12964801067075e-07,2.224677276618792e-06
3.195247505759214e-07,2.271307932733002e-06
3.262222009711673e-07,2.318915996113446e-06
3.330600343624589e-07,2.367521953705598e-06
3.400411932703703e-07,2.417146721889196e-06
3.471686818926559e-07,2.467811655582075e-06
3.544455673970435e-07,2.51953855723297e-06
3.618749812411284e-07,2.57234968614739e-06
3.694601205199302e-07,2.626267768479629e-06
3.772042493416994e-07,2.681316006447609e-06
3.851107002325569e-07,2.737518088880009e-06
3.93182875570577e-07,2.794898200875195e-06
4.014242490499326e-07,2.853481034681415e-06
4.098383671757261e-07,2.913291799910844e-06
4.184288507901585e-07,2.97435623475284e-06
4.271993966306776e-07,3.036700616632082e-06
4.361537789208006e-07,3.100351774198984e-06
4.45295850994266e-07,3.165337097876808e-06
4.5462954695324e-07,3.231684552629233e-06
4.641588833612782e-07,3.29942268950667e-06
4.738879609717651e-07,3.368580657858722e-06
4.838209664925957e-07,3.439188217990718e-06
4.939621743878326e-07,3.511275754264354e-06
5.043159487171359e-07,3.584874287754225e-06
5.148867450137498e-07,3.660015489570512e-06
5.25679112201842e-07,3.736731694958806e-06
5.366976945540476e-07,3.815055916733812e-06
5.479472336900293e-07,3.895021859712244e-06
5.594325706169378e-07,3.976663935256752e-06
5.711586478126435e-07,4.060017275930861e-06
5.831305113526218e-07,4.145117750598004e-06
5.95353313081437e-07,4.232001980186695e-06
6.078323128297237e-07,4.320707352900577e-06
6.205728806776501e-07,4.411272040982794e-06
6.335804992658255e-07,4.503735016259114e-06
6.468607661546321e-07,4.598136068012515e-06
6.604193962330305e-07,4.694515819192446e-06
6.742622241778349e-07,4.792915744178394e-06
6.883952069645496e-07,4.893378186765496e-06
7.028244264308353e-07,4.995946378261173e-06
7.175560918936921e-07,5.100664456136883e-06
7.32596542821523e-07,5.207577482901904e-06
7.479522515621828e-07,5.316731465754287e-06
7.636298261282241e-07,5.428173376120782e-06
7.796360130405236e-07,5.541951169973913e-06
7.959777002314978e-07,5.65811380826009e-06
8.126619200091945e-07,5.776711278548952e-06
8.296958520834915e-07,5.897794615905561e-06
8.470868266557403e-07,6.021415924983842e-06
8.648423275731727e-07,6.147628402786154e-06
8.829699955494083e-07,6.276486361311839e-06
9.014776314524917e-07,6.40804525098293e-06
9.20373199661823e-07,6.542361684069853e-06
9.396648314954691e-07,6.679493460115538e-06
9.593608287093148e-07,6.819499589472144e-06
9.794696670695385e-07,6.962440319835395e-06
1e-06,7.108377161557655e-06
1.020960662306047e-06,7.257372914071247e-06
1.042360673976401e-06,7.409491693421977e-06
1.064209244064725e-06,7.564798959247554e-06
1.086515774652537e-06,7.723361543310325e-06
1.109289864895223e-06,7.88524767825205e-06
1.132541315152813e-06,8.050527026681742e-06
1.156280131207375e-06,8.219270711595783e-06
1.180516528568805e-06,8.391551346575987e-06
1.205260936870841e-06,8.567443067097891e-06
1.230524004359262e-06,8.747021562616197e-06
1.256316602474121e-06,8.930364109094313e-06
1.28264983052806e-06,9.117549602088992e-06
1.309535020482668e-06,9.308658590945207e-06
1.336983741824945e-06,9.503773312991015e-06
1.365007806546014e-06,9.702977729619811e-06
1.393619274224143e-06,9.906357561706436e-06
1.422830457214352e-06,1.011400032724374e-05
1.452653925946781e-06,1.032599537809098e-05
1.483102514336103e-06,1.054243393927567e-05
1.514189325304352e-06,1.076340914774043e-05
1.545927736419479e-06,1.0989016092533e-05
1.57833140565212e-06,1.12193518557735e-05
1.61141427725302e-06,1.145451555450983e-05
1.645190587753661e-06,1.169460838301717e-05
