#Mean
#Distribution, Mean, Error
Original       ,0.692901,0.000000
Weibull        ,1.673648,0.256994
Normal         ,0.178496,0.012361
Exponential(LR),0.070410,0.004388
Exponential(Me),0.140739,0.008885
Pareto(LR)     ,0.014939,0.022865
Pareto(MLH)    ,2.518211,0.407921
Cauchy         ,0.016304,0.000062
