#Pareto aproximation (maximum likehood) vs Original set
#ParetoMl(x), ParetoMl(CDF) 
1e-08,0
1.020960662306048e-08,0
1.042360673976401e-08,0
1.064209244064725e-08,0
1.086515774652537e-08,0
1.109289864895223e-08,0
1.132541315152813e-08,0
1.156280131207375e-08,0
1.180516528568806e-08,0
1.205260936870841e-08,0
1.230524004359262e-08,0
1.256316602474122e-08,0
1.28264983052806e-08,0
1.309535020482668e-08,0
1.336983741824945e-08,0
1.365007806546014e-08,0
1.393619274224144e-08,0
1.422830457214352e-08,0
1.452653925946781e-08,0
1.483102514336103e-08,0
1.514189325304352e-08,0
1.545927736419478e-08,0
1.578331405652117e-08,0
1.61141427725302e-08,0
1.645190587753661e-08,0
1.679674872092653e-08,0
1.714881969870541e-08,0
1.750827031735723e-08,0
1.787525525904235e-08,0
1.824993244816151e-08,0
1.86324631193156e-08,0
1.902301188668946e-08,0
1.942174681489025e-08,0
1.982883949127072e-08,0
2.024446509976802e-08,0
2.066880249629082e-08,0
2.110203428568597e-08,0
2.154434690031882e-08,0
2.199593068030075e-08,0
2.245697995539776e-08,0
2.292769312865649e-08,0
2.340827276178294e-08,0
2.389892566231048e-08,0
2.43998629725955e-08,0
2.491130026067791e-08,0
2.543345761304648e-08,0
2.596655972934873e-08,0
2.651083601908536e-08,0
2.706652070033241e-08,0
2.763385290053173e-08,0
2.821307675939471e-08,0
2.880444153396298e-08,0
2.940820170587061e-08,0
3.002461709085549e-08,0
3.06539529505653e-08,0
3.12964801067075e-08,0
3.195247505759214e-08,0
3.262222009711667e-08,0
3.330600343624589e-08,0
3.40041193270371e-08,0
3.471686818926559e-08,0
3.544455673970436e-08,0
3.618749812411276e-08,0
3.694601205199302e-08,0
3.772042493417001e-08,0
3.851107002325569e-08,0
3.93182875570577e-08,0
4.014242490499318e-08,0
4.098383671757262e-08,0
4.184288507901584e-08,0
4.271993966306777e-08,0
4.361537789208006e-08,0
4.45295850994266e-08,0
4.546295469532399e-08,0
4.641588833612782e-08,0
4.738879609717651e-08,0
4.838209664925958e-08,0
4.939621743878326e-08,0
5.043159487171359e-08,0.000820674680065081
5.148867450137498e-08,0.002798630791852386
5.256791122018419e-08,0.004772671379888016
5.366976945540476e-08,0.006742804195267849
5.479472336900293e-08,0.008709036973742923
5.594325706169378e-08,0.01067137743575086
5.711586478126435e-08,0.01262983328644651
5.831305113526219e-08,0.01458441221573126
5.95353313081437e-08,0.01653512189828421
6.078323128297236e-08,0.01848196999359131
6.2057288067765e-08,0.02042496414597605
6.335804992658255e-08,0.02236411198462984
6.46860766154632e-08,0.0242994211236407
6.604193962330306e-08,0.02623089916202481
6.742622241778349e-08,0.02815855368375475
6.883952069645497e-08,0.03008239225779019
7.028244264308353e-08,0.03200242243810791
7.175560918936921e-08,0.03391865176373021
7.32596542821523e-08,0.03583108775875621
7.479522515621828e-08,0.03773973793238961
7.636298261282242e-08,0.03964460977896933
7.796360130405237e-08,0.04154571077799896
7.959777002314978e-08,0.04344304839417523
8.126619200091946e-08,0.04533663007741862
8.296958520834915e-08,0.04722646326290136
8.470868266557402e-08,0.04911255537107684
8.648423275731727e-08,0.05099491380771015
8.829699955494083e-08,0.05287354596390492
9.014776314524918e-08,0.05474845921613447
9.20373199661823e-08,0.05661966092626902
9.396648314954691e-08,0.05848715844160557
9.593608287093146e-08,0.06035095909489707
9.794696670695386e-08,0.06221107020437977
1e-07,0.06406749907380394
1.020960662306048e-07,0.06592025299246063
1.042360673976401e-07,0.06776933923521145
1.064209244064725e-07,0.06961476506251707
1.086515774652537e-07,0.0714565377204649
1.109289864895223e-07,0.07329466444079891
1.132541315152813e-07,0.07512915244094664
1.156280131207375e-07,0.07696000892404831
1.180516528568806e-07,0.07878724107898516
1.205260936870841e-07,0.08061085608040708
1.230524004359261e-07,0.08243086108876163
1.256316602474121e-07,0.08424726325032128
1.28264983052806e-07,0.08606006969721192
1.309535020482668e-07,0.08786928754744106
1.336983741824945e-07,0.08967492390492526
1.365007806546014e-07,0.0914769858595188
1.393619274224144e-07,0.09327548048704037
1.422830457214352e-07,0.09507041484930168
1.452653925946781e-07,0.09686179599413558
1.483102514336103e-07,0.09864963095542212
1.514189325304352e-07,0.1004339267531185
1.545927736419479e-07,0.1022146903932843
1.578331405652117e-07,0.1039919288681103
1.61141427725302e-07,0.105765649155946
1.645190587753661e-07,0.1075358582213264
1.679674872092653e-07,0.1093025630149997
1.714881969870541e-07,0.1110657704739547
1.750827031735723e-07,0.1128254875214475
1.787525525904236e-07,0.1145817210670295
1.824993244816151e-07,0.1163344780065735
1.86324631193156e-07,0.1180837652223021
1.902301188668946e-07,0.1198295895828136
1.942174681489024e-07,0.121571957943109
1.982883949127071e-07,0.1233108771446201
2.024446509976802e-07,0.1250463540152347
2.066880249629082e-07,0.1267783953693249
2.110203428568597e-07,0.1285070080077729
2.154434690031882e-07,0.1302321987179976
2.199593068030075e-07,0.1319539742739827
2.245697995539772e-07,0.1336723414363011
2.292769312865649e-07,0.1353873069521435
2.340827276178294e-07,0.1370988775553436
2.389892566231048e-07,0.1388070599664046
2.43998629725955e-07,0.1405118608925267
2.491130026067786e-07,0.1422132870276319
2.543345761304648e-07,0.1439113450523917
2.596655972934872e-07,0.1456060416342522
2.651083601908536e-07,0.1472973834274607
2.706652070033241e-07,0.1489853770730923
2.763385290053167e-07,0.1506700291990754
2.82130767593947e-07,0.1523513464202176
2.880444153396298e-07,0.1540293353382325
2.940820170587061e-07,0.1557040025417642
3.002461709085549e-07,0.1573753546064152
3.065395295056524e-07,0.15904339809477
3.12964801067075e-07,0.1607081395564227
3.195247505759214e-07,0.1623695855280015
3.262222009711673e-07,0.1640277425331951
3.330600343624589e-07,0.1656826170827774
3.400411932703703e-07,0.1673342156746347
3.471686818926559e-07,0.1689825447937897
3.544455673970435e-07,0.1706276109124273
3.618749812411284e-07,0.1722694204899204
3.694601205199302e-07,0.1739079799728548
3.772042493416994e-07,0.1755432957950552
3.851107002325569e-07,0.17717537437761
3.93182875570577e-07,0.178804222128896
4.014242490499326e-07,0.1804298454446045
4.098383671757261e-07,0.182052250707766
4.184288507901585e-07,0.1836714442887752
4.271993966306776e-07,0.185287432545416
4.361537789208006e-07,0.186900221822887
4.45295850994266e-07,0.1885098184538254
4.5462954695324e-07,0.1901162287583326
4.641588833612782e-07,0.1917194590439991
4.738879609717651e-07,0.1933195156059286
4.838209664925957e-07,0.1949164047267636
4.939621743878326e-07,0.1965101326767095
5.043159487171359e-07,0.1981007057135586
5.148867450137498e-07,0.1996881300827167
5.25679112201842e-07,0.2012724120172251
5.366976945540476e-07,0.202853557737787
5.479472336900293e-07,0.2044315734527911
5.594325706169378e-07,0.2060064653583357
5.711586478126435e-07,0.2075782396382541
5.831305113526218e-07,0.2091469024641374
5.95353313081437e-07,0.2107124599953604
6.078323128297237e-07,0.2122749183791043
6.205728806776501e-07,0.2138342837503815
6.335804992658255e-07,0.21539056223206
6.468607661546321e-07,0.2169437599348868
6.604193962330305e-07,0.2184938829575124
6.742622241778349e-07,0.2200409373865142
6.883952069645496e-07,0.2215849292964209
7.028244264308353e-07,0.2231258647497366
7.175560918936921e-07,0.2246637497969632
7.32596542821523e-07,0.2261985904766263
7.479522515621828e-07,0.2277303928152968
7.636298261282241e-07,0.2292591628276159
7.796360130405236e-07,0.2307849065163187
7.959777002314978e-07,0.2323076298722565
8.126619200091945e-07,0.2338273388744223
8.296958520834915e-07,0.2353440394899724
8.470868266557403e-07,0.2368577376742507
8.648423275731727e-07,0.2383684393708125
8.829699955494083e-07,0.239876150511447
9.014776314524917e-07,0.2413808770162009
9.20373199661823e-07,0.2428826247934021
9.396648314954691e-07,0.2443813997396816
9.593608287093148e-07,0.2458772077399988
9.794696670695385e-07,0.247370054667662
1e-06,0.2488599463843542
1.020960662306047e-06,0.2503468887401535
1.042360673976401e-06,0.251830887573558
1.064209244064725e-06,0.2533119487115079
1.086515774652537e-06,0.2547900779694081
1.109289864895223e-06,0.2562652811511522
1.132541315152813e-06,0.2577375640491439
1.156280131207375e-06,0.2592069324443206
1.180516528568805e-06,0.2606733921061757
1.205260936870841e-06,0.2621369487927817
1.230524004359262e-06,0.2635976082508124
1.256316602474121e-06,0.2650553762155655
1.28264983052806e-06,0.2665102584109852
1.309535020482668e-06,0.2679622605496851
1.336983741824945e-06,0.2694113883329695
1.365007806546014e-06,0.2708576474508574
1.393619274224143e-06,0.2723010435821031
1.422830457214352e-06,0.2737415823942196
1.452653925946781e-06,0.2751792695435012
1.483102514336103e-06,0.2766141106750443
1.514189325304352e-06,0.2780461114227707
1.545927736419479e-06,0.2794752774094494
1.57833140565212e-06,0.2809016142467189
1.61141427725302e-06,0.2823251275351083
1.645190587753661e-06,0.2837458228640607
1.679674872092653e-06,0.2851637058119546
1.714881969870541e-06,0.2865787819461248
1.750827031735727e-06,0.2879910568228858
1.787525525904235e-06,0.2894005359875526
