#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
7.175560918936921e-07,1.069603595371671e-05
7.32596542821523e-07,1.092023072724047e-05
7.479522515621828e-07,1.114912471977814e-05
7.636298261282241e-07,1.1382816427985e-05
7.796360130405236e-07,1.162140641286502e-05
7.959777002314978e-07,1.186499734306956e-05
8.126619200091945e-07,1.211369403930629e-05
8.296958520834915e-07,1.236760351919219e-05
8.470868266557403e-07,1.262683504343887e-05
8.648423275731727e-07,1.289150016281493e-05
8.829699955494083e-07,1.316171276610767e-05
9.014776314524917e-07,1.34375891291949e-05
9.20373199661823e-07,1.371924796500501e-05
9.396648314954691e-07,1.400681047480923e-05
9.593608287093148e-07,1.430040039984704e-05
9.794696670695385e-07,1.460014407528298e-05
1e-06,1.490617048405252e-05
1.020960662306047e-06,1.521861131237312e-05
1.042360673976401e-06,1.553760100658774e-05
1.064209244064725e-06,1.586327683122946e-05
1.086515774652537e-06,1.619577892730817e-05
1.109289864895223e-06,1.653525037359493e-05
1.132541315152813e-06,1.688183724724013e-05
1.156280131207375e-06,1.723568868738923e-05
1.180516528568805e-06,1.759695695890962e-05
1.205260936870841e-06,1.796579751800476e-05
1.230524004359262e-06,1.834236907916065e-05
1.256316602474121e-06,1.872683368342454e-05
1.28264983052806e-06,1.911935676790488e-05
1.309535020482668e-06,1.952010723715869e-05
1.336983741824945e-06,1.992925753602215e-05
1.365007806546014e-06,2.034698372344046e-05
1.393619274224143e-06,2.077346554840709e-05
1.422830457214352e-06,2.120888652723529e-05
1.452653925946781e-06,2.165343402249498e-05
1.483102514336103e-06,2.210729932383693e-05
1.514189325304352e-06,2.257067773003829e-05
1.545927736419479e-06,2.304376863293545e-05
1.57833140565212e-06,2.35267756035773e-05
1.61141427725302e-06,2.401990647959984e-05
1.645190587753661e-06,2.452337345448807e-05
1.679674872092653e-06,2.50373931690584e-05
1.714881969870541e-06,2.556218680471734e-05
1.750827031735727e-06,2.60979801783856e-05
1.787525525904235e-06,2.664500383986468e-05
1.82499324481615e-06,2.72034931709797e-05
1.86324631193156e-06,2.777368848649875e-05
1.902301188668946e-06,2.835583513793871e-05
1.942174681489028e-06,2.89501836192585e-05
1.982883949127071e-06,2.955698967388454e-05
2.024446509976802e-06,3.017651440551106e-05
2.066880249629082e-06,3.080902438967748e-05
2.110203428568597e-06,3.145479178945365e-05
2.154434690031886e-06,3.211409447134717e-05
2.199593068030075e-06,3.278721612554047e-05
2.245697995539772e-06,3.347444638812647e-05
2.292769312865649e-06,3.41760809647873e-05
2.340827276178294e-06,3.489242175913621e-05
2.389892566231052e-06,3.56237770013923e-05
2.43998629725955e-06,3.637046138216249e-05
2.491130026067786e-06,3.713279618688947e-05
2.543345761304648e-06,3.791110943440756e-05
2.596655972934872e-06,3.870573601805205e-05
2.651083601908542e-06,3.951701784987716e-05
2.706652070033241e-06,4.034530400709446e-05
2.763385290053167e-06,4.119095088284119e-05
2.821307675939471e-06,4.205432233950201e-05
2.880444153396298e-06,4.293578986469537e-05
2.940820170587067e-06,4.383573273125663e-05
3.002461709085549e-06,4.475453816088493e-05
3.065395295056524e-06,4.569260148989951e-05
3.129648010670751e-06,4.665032633965893e-05
3.195247505759214e-06,4.762812479019995e-05
3.262222009711673e-06,4.862641755754016e-05
3.330600343624589e-06,4.96456341742002e-05
3.400411932703702e-06,5.068621317450006e-05
3.47168681892656e-06,5.174860228274181e-05
3.544455673970436e-06,5.28332586057223e-05
3.618749812411284e-06,5.394064882990879e-05
3.694601205199302e-06,5.507124942139008e-05
3.772042493416993e-06,5.622554683126779e-05
3.851107002325569e-06,5.740403770471136e-05
3.93182875570577e-06,5.860722909445393e-05
4.014242490499326e-06,5.983563867895114e-05
4.098383671757261e-06,6.108979498520295e-05
4.184288507901576e-06,6.237023761546112e-05
4.271993966306777e-06,6.367751747959893e-05
4.361537789208005e-06,6.501219703247685e-05
4.45295850994266e-06,6.637485051474989e-05
4.5462954695324e-06,6.776606420089148e-05
4.641588833612773e-06,6.918643665032587e-05
4.738879609717651e-06,7.063657896555497e-05
4.838209664925957e-06,7.211711505450413e-05
4.939621743878326e-06,7.362868189886296e-05
5.043159487171359e-06,7.51719298280884e-05
5.148867450137487e-06,7.674752279884789e-05
5.25679112201842e-06,7.835613868056868e-05
5.366976945540476e-06,7.999846954664935e-05
5.479472336900293e-06,8.167522197266575e-05
5.594325706169378e-06,8.338711733923976e-05
5.711586478126423e-06,8.513489214290182e-05
5.831305113526219e-06,8.69192983122824e-05
5.95353313081437e-06,8.8741103531631e-05
6.078323128297237e-06,9.060109157066343e-05
6.205728806776501e-06,9.250006262140342e-05
6.335804992658241e-06,9.443883364246286e-05
6.468607661546321e-06,9.641823870998323e-05
6.604193962330305e-06,9.843912937623767e-05
6.742622241778349e-06,0.0001005023750356715
6.883952069645496e-06,0.0001026088632982702
7.028244264308338e-06,0.0001047595003719204
7.175560918936921e-06,0.0001069552114507655
7.32596542821523e-06,0.0001091969411137761
7.479522515621829e-06,0.0001114856537302034
7.636298261282242e-06,0.0001138223338742472
7.796360130405221e-06,0.0001162079867480514
7.959777002314978e-06,0.0001186436386140244
8.126619200091945e-06,0.0001211303372353756
8.296958520834915e-06,0.0001236691523265332
8.470868266557402e-06,0.0001262611760129984
8.648423275731709e-06,0.0001289075233004144
8.829699955494083e-06,0.0001316093325539613
9.014776314524917e-06,0.0001343677659870757
9.20373199661823e-06,0.000137184010160829
9.396648314954691e-06,0.0001400592764944086
9.593608287093147e-06,0.0001429948017844795
9.794696670695386e-06,0.0001459918487374257
1e-05,0.0001490517065115826
1.020960662306048e-05,0.000152175691270573
1.042360673976401e-05,0.0001553651467494088
1.064209244064725e-05,0.0001586214448312528
1.086515774652537e-05,0.0001619459861366135
1.109289864895223e-05,0.000165340200625308
1.132541315152813e-05,0.0001688055482101936
1.156280131207375e-05,0.0001723435193848877
1.180516528568806e-05,0.0001759556358628123
1.205260936870841e-05,0.0001796434512315592
1.230524004359262e-05,0.0001834085516200235
1.256316602474121e-05,0.0001872525563787475
1.28264983052806e-05,0.0001911771187761424
1.309535020482668e-05,0.0001951839267078093
1.336983741824945e-05,0.0001992747034215148
1.365007806546014e-05,0.0002034512082569329
1.393619274224143e-05,0.0002077152374007074
1.422830457214352e-05,0.0002120686246579462
1.452653925946781e-05,0.000216513242239369
1.483102514336103e-05,0.0002210510015645539
1.514189325304352e-05,0.0002256838540828365
1.545927736419479e-05,0.0002304137921105287
1.578331405652116e-05,0.0002352428496860126
1.61141427725302e-05,0.0002401731034430421
1.645190587753661e-05,0.0002452066735011416
1.679674872092653e-05,0.0002503457243762108
1.714881969870541e-05,0.0002555924659085607
1.750827031735727e-05,0.0002609491542113762
1.787525525904236e-05,0.0002664180926387205
1.82499324481615e-05,0.0002720016327732999
1.86324631193156e-05,0.0002777021754355458
1.902301188668946e-05,0.0002835221717132352
1.942174681489028e-05,0.0002894641240132056
1.982883949127071e-05,0.0002955305871337188
2.024446509976802e-05,0.0003017241693610284
2.066880249629082e-05,0.0003080475335870414
2.110203428568597e-05,0.0003145033984520706
2.154434690031887e-05,0.0003210945395093479
2.199593068030075e-05,0.0003278237904158487
2.245697995539772e-05,0.000334694044146655
2.292769312865649e-05,0.0003417082542351846
2.340827276178294e-05,0.0003488694360389566
2.389892566231053e-05,0.0003561806680318913
2.43998629725955e-05,0.000363645093123921
2.491130026067786e-05,0.0003712659200074686
2.543345761304648e-05,0.0003790464245322367
2.596655972934872e-05,0.0003869899511088626
2.651083601908542e-05,0.0003950999141415501
2.706652070033241e-05,0.0004033797994904553
2.763385290053167e-05,0.0004118331659651586
2.821307675939471e-05,0.0004204636468483347
2.880444153396298e-05,0.0004292749514516192
2.940820170587067e-05,0.0004382708667044488
3.002461709085549e-05,0.0004474552587743208
3.065395295056524e-05,0.0004568320747230237
3.12964801067075e-05,0.0004664053441953975
3.195247505759214e-05,0.0004761791811439542
3.262222009711673e-05,0.0004861577855899135
3.330600343624589e-05,0.0004963454454198768
3.400411932703703e-05,0.0005067465382208036
3.471686818926559e-05,0.0005173655331521809
3.544455673970435e-05,0.0005282069928581601
3.618749812411284e-05,0.0005392755754187739
3.694601205199302e-05,0.0005505760363413437
3.772042493416993e-05,0.0005621132305946297
3.851107002325569e-05,0.0005738921146839493
3.93182875570577e-05,0.0005859177487697043
4.014242490499326e-05,0.0005981952988304284
4.098383671757261e-05,0.0006107300388700221
4.184288507901576e-05,0.0006235273531713936
4.271993966306776e-05,0.0006365927385967307
4.361537789208006e-05,0.0006499318069350668
4.45295850994266e-05,0.0006635502872992527
4.5462954695324e-05,0.0006774540285722219
4.641588833612772e-05,0.0006916490019038823
4.738879609717651e-05,0.0007061413032602992
4.838209664925957e-05,0.0007209371560251698
4.939621743878326e-05,0.0007360429136554769
5.043159487171359e-05,0.0007514650623920982
5.148867450137487e-05,0.0007672102240268153
5.256791122018419e-05,0.0007832851587260548
5.366976945540476e-05,0.0007996967679138045
5.479472336900293e-05,0.0008164520972133715
5.594325706169377e-05,0.0008335583394509793
5.711586478126424e-05,0.0008510228377205387
5.831305113526218e-05,0.000868853088512811
5.95353313081437e-05,0.0008870567449080768
6.078323128297237e-05,0.0009056416198358619
6.2057288067765e-05,0.0009246156894017199
6.335804992658241e-05,0.0009439870962819619
6.468607661546321e-05,0.0009637641531898833
6.604193962330305e-05,0.0009839553464123796
6.742622241778349e-05,0.001004569339420058
6.883952069645496e-05,0.001025614976551736
7.028244264308338e-05,0.001047101286774987
7.175560918936922e-05,0.001069037487524072
7.32596542821523e-05,0.001091432988617136
7.479522515621829e-05,0.001114297396254016
7.636298261282242e-05,0.001137640517096195
7.79636013040522e-05,0.001161472362431248
7.959777002314978e-05,0.00118580315242256
8.126619200091945e-05,0.001210643320446403
8.296958520834916e-05,0.001236003517518514
8.470868266557403e-05,0.001261894616811587
8.648423275731709e-05,0.001288327718265148
8.829699955494083e-05,0.001315314153290892
9.014776314524917e-05,0.001342865489573963
9.203731996618231e-05,0.001370993535972698
9.39664831495469e-05,0.001399710347519401
9.593608287093147e-05,0.001429028230523155
9.794696670695385e-05,0.001458959747777544
0.0001,0.001489517723874512
