#Exponential - Cost J(iterations) convergence
#iterations, J(iterations)
1,30.14068510900196
2,30.0457683252796
3,29.95244596520225
4,29.8606859251576
5,29.77045675328919
6,29.68172763626018
7,29.59446838628601
8,29.50864942843035
9,29.42424178815903
10,29.34121707914682
11,29.25954749133173
12,29.17920577921205
13,29.10016525038096
14,29.02239975429395
15,28.94588367126451
16,28.8705919016832
17,28.79649985545564
18,28.72358344165514
19,28.65181905838528
20,28.58118358284855
21,28.51165436161655
22,28.4432092010979
23,28.37582635819963
24,28.30948453117832
25,28.24416285067696
26,28.1798408709439
27,28.11649856123013
28,28.05411629736124
29,27.99267485348054
30,27.93215539395988
31,27.87253946547482
32,27.8138089892406
33,27.75594625340592
34,27.69893390560112
35,27.64275494563773
36,27.58739271835625
37,27.53283090661925
38,27.47905352444666
39,27.42604491029061
40,27.37378972044673
41,27.32227292259936
42,27.27147978949773
43,27.22139589276069
44,27.17200709680722
45,27.12329955291012
46,27.07525969337059
47,27.02787422581108
48,26.98113012758394
49,26.93501464029375
50,26.88951526443095
51,26.84461975411417
52,26.80031611193968
53,26.75659258393522
54,26.7134376546164
55,26.67084004214346
56,26.6287886935764
57,26.58727278022653
58,26.5462816931023
59,26.50580503844774
60,26.46583263337148
61,26.42635450156449
62,26.38736086910478
63,26.34884216034744
64,26.31078899389797
65,26.2731921786675
66,26.23604271000809
67,26.19933176592648
68,26.16305070337479
69,26.12719105461661
70,26.09174452366667
71,26.05670298280306
72,26.02205846915017
73,25.98780318133099
74,25.95392947618749
75,25.92042986556754
76,25.88729701317713
77,25.85452373149646
78,25.82210297875868
79,25.79002785599005
80,25.75829160411013
81,25.7268876010909
82,25.69580935917356
83,25.66505052214183
84,25.63460486265076
85,25.60446627960956
86,25.57462879561777
87,25.54508655445343
88,25.51583381861229
89,25.4868649668969
90,25.4581744920548
91,25.4297569984646
92,25.40160719986904
93,25.37371991715413
94,25.34609007617336
95,25.31871270561615
96,25.29158293491948
97,25.26469599222211
98,25.23804720236011
99,25.21163198490336
100,25.18544585223168
101,25.15948440765026
102,25.13374334354311
103,25.10821843956431
104,25.08290556086571
105,25.05780065636081
106,25.03289975702382
107,25.00819897422329
108,24.98369449808954
109,24.95938259591531
110,24.93525961058885
111,24.91132195905884
112,24.88756613083049
113,24.86398868649216
114,24.84058625627191
115,24.81735553862347
116,24.79429329884068
117,24.77139636770034
118,24.74866164013247
119,24.72608607391757
120,24.70366668841045
121,24.68140056328983
122,24.65928483733344
123,24.63731670721796
124,24.61549342634337
125,24.59381230368104
126,24.57227070264543
127,24.55086603998852
128,24.52959578471679
129,24.50845745703013
130,24.48744862728239
131,24.46656691496294
132,24.44580998769898
133,24.42517556027806
134,24.40466139369054
135,24.38426529419139
136,24.3639851123811
137,24.34381874230526
138,24.3237641205724
139,24.30381922548974
140,24.28398207621657
141,24.26425073193471
142,24.2446232910359
143,24.22509789032563
144,24.20567270424322
145,24.18634594409765
146,24.16711585731899
147,24.14798072672495
148,24.12893886980241
149,24.10998863800347
150,24.09112841605586
151,24.07235662128726
152,24.0536717029635
153,24.03507214164
154,24.01655644852657
155,23.99812316486496
156,23.97977086131916
157,23.96149813737802
158,23.94330362077001
159,23.9251859668899
160,23.90714385823706
161,23.88917600386513
162,23.87128113884293
163,23.8534580237263
164,23.83570544404063
165,23.81802220977394
166,23.80040715488026
167,23.78285913679303
168,23.76537703594848
169,23.7479597553186
170,23.73060621995363
171,23.7133153765339
172,23.69608619293063
173,23.67891765777583
174,23.66180878004076
175,23.64475858862306
176,23.62776613194225
177,23.6108304775434
178,23.59395071170891
179,23.57712593907813
180,23.56035528227471
181,23.54363788154151
182,23.52697289438303
183,23.51035949521486
184,23.49379687502055
185,23.47728424101521
186,23.46082081631606
187,23.44440583961964
188,23.42803856488557
189,23.41171826102677
190,23.39544421160589
191,23.37921571453798
192,23.3630320817992
193,23.34689263914141
194,23.3307967258125
195,23.31474369428255
196,23.29873290997544
197,23.28276375100592
198,23.26683560792205
199,23.25094788345287
200,23.23509999226115
201,23.21929136070122
202,23.20352142658168
203,23.18778963893297
204,23.17209545777955
205,23.15643835391688
206,23.14081780869279
207,23.12523331379334
208,23.10968437103303
209,23.09417049214926
210,23.07869119860098
211,23.0632460213714
212,23.04783450077474
213,23.0324561862669
214,23.01711063625994
215,23.00179741794036
216,22.98651610709108
217,22.97126628791697
218,22.95604755287406
219,22.94085950250203
220,22.92570174526026
221,22.91057389736712
222,22.89547558264262
223,22.88040643235409
224,22.86536608506515
225,22.8503541864877
226,22.83537038933691
227,22.82041435318908
228,22.80548574434257
229,22.79058423568134
230,22.77570950654144
231,22.76086124258006
232,22.74603913564741
233,22.73124288366102
234,22.7164721904827
235,22.70172676579802
236,22.68700632499815
237,22.67231058906414
238,22.65763928445358
239,22.64299214298956
240,22.62836890175178
241,22.61376930297003
242,22.59919309391973
243,22.58464002681959
244,22.57010985873141
245,22.55560235146187
246,22.54111727146632
247,22.52665438975454
248,22.51221348179838
249,22.49779432744131
250,22.4833967108098
251,22.46902042022649
252,22.45466524812511
253,22.44033099096717
254,22.42601744916032
255,22.41172442697831
256,22.39745173248272
257,22.38319917744611
258,22.36896657727684
259,22.35475375094541
260,22.34056052091222
261,22.32638671305689
262,22.31223215660899
263,22.29809668408008
264,22.28398013119732
265,22.26988233683823
266,22.25580314296692
267,22.24174239457154
268,22.227699939603
269,22.21367562891501
270,22.1996693162052
271,22.1856808579576
272,22.17171011338614
273,22.15775694437943
274,22.1438212154465
275,22.12990279366385
276,22.11600154862334
277,22.10211735238137
278,22.08825007940891
279,22.07439960654265
280,22.06056581293707
281,22.04674858001757
282,22.03294779143447
283,22.019163333018
284,22.00539509273413
285,21.99164296064144
286,21.97790682884867
287,21.96418659147331
288,21.95048214460091
289,21.93679338624532
290,21.9231202163096
291,21.90946253654787
292,21.89582025052784
293,21.88219326359415
294,21.8685814828324
295,21.85498481703396
296,21.84140317666149
297,21.82783647381514
298,21.81428462219944
299,21.80074753709088
300,21.78722513530611
301,21.77371733517085
302,21.76022405648936
303,21.74674522051459
304,21.73328074991886
305,21.71983056876525
306,21.70639460247945
307,21.69297277782226
308,21.67956502286264
309,21.66617126695125
310,21.65279144069461
311,21.63942547592973
312,21.62607330569925
313,21.61273486422714
314,21.59941008689482
315,21.58609891021784
316,21.57280127182293
317,21.55951711042568
318,21.5462463658085
319,21.53298897879912
320,21.51974489124951
321,21.50651404601523
322,21.4932963869352
323,21.48009185881185
324,21.46690040739175
325,21.45372197934653
326,21.44055652225427
327,21.42740398458123
328,21.41426431566396
329,21.40113746569179
330,21.38802338568958
331,21.37492202750104
332,21.3618333437721
333,21.34875728793487
334,21.33569381419174
335,21.32264287749994
336,21.30960443355634
337,21.29657843878256
338,21.28356485031042
339,21.27056362596763
340,21.25757472426383
341,21.24459810437689
342,21.23163372613946
343,21.21868155002583
344,21.20574153713904
345,21.19281364919829
346,21.17989784852647
347,21.16699409803819
348,21.15410236122779
349,21.14122260215776
350,21.12835478544734
351,21.11549887626135
352,21.10265484029928
353,21.08982264378452
354,21.07700225345391
355,21.06419363654746
356,21.05139676079824
357,21.03861159442255
358,21.02583810611019
359,21.01307626501506
360,21.00032604074582
361,20.98758740335684
362,20.97486032333925
363,20.96214477161225
364,20.94944071951452
365,20.93674813879588
366,20.92406700160907
367,20.91139728050171
368,20.89873894840838
369,20.88609197864301
370,20.87345634489119
371,20.86083202120285
372,20.84821898198496
373,20.83561720199446
374,20.82302665633125
375,20.81044732043141
376,20.79787917006045
377,20.78532218130683
378,20.77277633057551
379,20.76024159458165
380,20.74771795034448
381,20.73520537518125
382,20.72270384670131
383,20.71021334280034
384,20.69773384165465
385,20.68526532171564
386,20.67280776170434
387,20.6603611406061
388,20.6479254376653
389,20.63550063238031
390,20.62308670449842
391,20.61068363401093
392,20.59829140114835
393,20.58590998637565
394,20.57353937038769
395,20.56117953410461
396,20.54883045866751
397,20.53649212543396
398,20.52416451597386
399,20.51184761206521
400,20.49954139569003
401,20.48724584903037
402,20.47496095446434
403,20.46268669456233
404,20.45042305208323
405,20.43817000997067
406,20.42592755134949
407,20.41369565952217
408,20.40147431796533
409,20.38926351032637
410,20.37706322042014
411,20.36487343222564
412,20.35269412988283
413,20.34052529768955
414,20.32836692009837
415,20.31621898171367
416,20.3040814672886
417,20.2919543617223
418,20.27983765005697
419,20.26773131747516
420,20.25563534929704
421,20.24354973097776
422,20.23147444810482
423,20.21940948639549
424,20.20735483169441
425,20.19531046997102
426,20.18327638731723
427,20.17125256994507
428,20.15923900418435
429,20.14723567648041
430,20.13524257339196
431,20.12325968158884
432,20.11128698784993
433,20.09932447906109
434,20.08737214221308
435,20.0754299643996
436,20.06349793281531
437,20.05157603475392
438,20.03966425760634
439,20.02776258885879
