#Empirical CDF function
#interArrival1(x), interArrivalCdf(y)
5e-08,0.2857142857142857
5e-08,0.2857142857142857
5e-08,0.2857142857142857
5e-08,0.2857142857142857
5e-08,0.2857142857142857
5e-08,0.2857142857142857
0.010014,0.3333333333333333
0.020029,0.3809523809523809
0.040058,0.4285714285714285
0.070101,0.4761904761904762
0.08011500000000001,0.5238095238095237
0.110158,0.5714285714285714
0.120173,0.6190476190476191
0.130188,0.6666666666666667
0.140202,0.7142857142857144
0.170245,0.7619047619047621
0.180259,0.8095238095238098
0.210303,0.8571428571428574
0.330476,0.9047619047619051
0.430619,0.9523809523809528
0.91131,1
