#Weibull aproximation vs Original set
#W(x), W(CDF) 
1e-08,0.2165576842957013
1.020960662306048e-08,0.2169851980513628
1.042360673976401e-08,0.2174134338698342
1.064209244064725e-08,0.2178423924464249
1.086515774652537e-08,0.2182720744746749
1.109289864895223e-08,0.2187024806463416
1.132541315152813e-08,0.2191336116513847
1.156280131207375e-08,0.2195654681779527
1.180516528568806e-08,0.2199980509123683
1.205260936870841e-08,0.2204313605391142
1.230524004359262e-08,0.2208653977408187
1.256316602474122e-08,0.2213001631982412
1.28264983052806e-08,0.2217356575902579
1.309535020482668e-08,0.2221718815938478
1.336983741824945e-08,0.2226088358840767
1.365007806546014e-08,0.2230465211340841
1.393619274224144e-08,0.223484938015068
1.422830457214352e-08,0.2239240871962699
1.452653925946781e-08,0.2243639693449603
1.483102514336103e-08,0.2248045851264241
1.514189325304352e-08,0.2252459352039455
1.545927736419478e-08,0.225688020238793
1.578331405652117e-08,0.2261308408902045
1.61141427725302e-08,0.2265743978153728
1.645190587753661e-08,0.2270186916694296
1.679674872092653e-08,0.2274637231054311
1.714881969870541e-08,0.2279094927743427
1.750827031735723e-08,0.2283560013250236
1.787525525904235e-08,0.228803249404212
1.824993244816151e-08,0.2292512376565088
1.86324631193156e-08,0.2296999667243635
1.902301188668946e-08,0.2301494372480578
1.942174681489025e-08,0.2305996498656907
1.982883949127072e-08,0.2310506052131626
2.024446509976802e-08,0.23150230392416
2.066880249629082e-08,0.2319547466301399
2.110203428568597e-08,0.2324079339603139
2.154434690031882e-08,0.2328618665416324
2.199593068030075e-08,0.2333165449987694
2.245697995539776e-08,0.233771969954106
2.292769312865649e-08,0.2342281420277149
2.340827276178294e-08,0.2346850618373446
2.389892566231048e-08,0.2351427299984027
2.43998629725955e-08,0.2356011471239408
2.491130026067791e-08,0.236060313824638
2.543345761304648e-08,0.2365202307087843
2.596655972934873e-08,0.2369808983822654
2.651083601908536e-08,0.2374423174485457
2.706652070033241e-08,0.2379044885086522
2.763385290053173e-08,0.2383674121611582
2.821307675939471e-08,0.2388310890021671
2.880444153396298e-08,0.2392955196252955
2.940820170587061e-08,0.2397607046216571
3.002461709085549e-08,0.240226644579846
3.06539529505653e-08,0.2406933400859202
3.12964801067075e-08,0.2411607917233847
3.195247505759214e-08,0.2416290000731753
3.262222009711667e-08,0.2420979657136411
3.330600343624589e-08,0.2425676892205283
3.40041193270371e-08,0.2430381711669632
3.471686818926559e-08,0.2435094121234354
3.544455673970436e-08,0.2439814126577803
3.618749812411276e-08,0.2444541733351628
3.694601205199302e-08,0.2449276947180599
3.772042493417001e-08,0.2454019773662433
3.851107002325569e-08,0.2458770218367627
3.93182875570577e-08,0.2463528286839288
4.014242490499318e-08,0.2468293984592952
4.098383671757262e-08,0.2473067317116415
4.184288507901584e-08,0.2477848289869564
4.271993966306777e-08,0.2482636908284193
4.361537789208006e-08,0.2487433177763836
4.45295850994266e-08,0.2492237103683592
4.546295469532399e-08,0.2497048691389941
4.641588833612782e-08,0.250186794620058
4.738879609717651e-08,0.2506694873404233
4.838209664925958e-08,0.2511529478260484
4.939621743878326e-08,0.2516371765999593
5.043159487171359e-08,0.2521221741822323
5.148867450137498e-08,0.2526079410899755
5.256791122018419e-08,0.2530944778373113
5.366976945540476e-08,0.2535817849353585
5.479472336900293e-08,0.2540698628922137
5.594325706169378e-08,0.2545587122129335
5.711586478126435e-08,0.2550483333995169
5.831305113526219e-08,0.2555387269508861
5.95353313081437e-08,0.2560298933628691
6.078323128297236e-08,0.2565218331281809
6.2057288067765e-08,0.2570145467364053
6.335804992658255e-08,0.2575080346739769
6.46860766154632e-08,0.2580022974241616
6.604193962330306e-08,0.2584973354670395
6.742622241778349e-08,0.2589931492794851
6.883952069645497e-08,0.2594897393351495
7.028244264308353e-08,0.2599871061044414
7.175560918936921e-08,0.2604852500545086
7.32596542821523e-08,0.2609841716492188
7.479522515621828e-08,0.2614838713491415
7.636298261282242e-08,0.2619843496115285
7.796360130405237e-08,0.2624856068902953
7.959777002314978e-08,0.262987643636002
8.126619200091946e-08,0.2634904602958349
8.296958520834915e-08,0.2639940573135863
8.470868266557402e-08,0.2644984351296361
8.648423275731727e-08,0.2650035941809331
8.829699955494083e-08,0.2655095349009747
9.014776314524918e-08,0.2660162577197885
9.20373199661823e-08,0.2665237630639127
9.396648314954691e-08,0.2670320513563764
9.593608287093146e-08,0.267541123016681
9.794696670695386e-08,0.26805097846078
1e-07,0.2685616181010598
1.020960662306048e-07,0.2690730423463202
1.042360673976401e-07,0.2695852516017546
1.064209244064725e-07,0.2700982462689305
1.086515774652537e-07,0.2706120267457698
1.109289864895223e-07,0.271126593426529
1.132541315152813e-07,0.2716419467017791
1.156280131207375e-07,0.2721580869583864
1.180516528568806e-07,0.2726750145794921
1.205260936870841e-07,0.2731927299444923
1.230524004359261e-07,0.2737112334290186
1.256316602474121e-07,0.2742305254049172
1.28264983052806e-07,0.2747506062402296
1.309535020482668e-07,0.2752714762991717
1.336983741824945e-07,0.2757931359421144
1.365007806546014e-07,0.2763155855255627
1.393619274224144e-07,0.2768388254021357
1.422830457214352e-07,0.2773628559205463
1.452653925946781e-07,0.2778876774255807
1.483102514336103e-07,0.278413290258078
1.514189325304352e-07,0.2789396947549098
1.545927736419479e-07,0.2794668912489594
1.578331405652117e-07,0.2799948800691016
1.61141427725302e-07,0.2805236615401817
1.645190587753661e-07,0.2810532359829954
1.679674872092653e-07,0.2815836037142673
1.714881969870541e-07,0.2821147650466307
1.750827031735723e-07,0.2826467202886065
