#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.483500,0.000000
Weibull        ,0.627287,0.018838
Normal         ,0.700509,0.005343
Exponential(LR),0.671856,0.013333
Exponential(Me),0.671856,0.013333
Pareto(LR)     ,0.527499,0.020075
Pareto(MLH)    ,0.664060,0.027207
Cauchy         ,0.562029,0.022380
