# AIC and BIC values
#Function,AIC,BIC
Weibull,-55984448.764273,-55984421.883365
Normal,Inf,Inf
Exponential(LR),1785698.321874,1785711.762328
Exponential(Me),-31217426.631196,-31217413.190742
Pareto(LR),-45997091.965549,-45997065.084641
Pareto(MLH),-50276624.569190,-50276597.688282
Cauchy,-28482951.472449,-28482924.591541
