#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
1.86324631193156e-06,0.000109505782589947
1.902301188668946e-06,0.0001118009680055598
1.942174681489028e-06,0.0001141442565922857
1.982883949127071e-06,0.0001165366563942172
2.024446509976802e-06,0.0001189791965751086
2.066880249629082e-06,0.0001214729278602444
2.110203428568597e-06,0.0001240189229884114
2.154434690031886e-06,0.0001266182771725299
2.199593068030075e-06,0.0001292721085706106
2.245697995539772e-06,0.0001319815587655926
2.292769312865649e-06,0.0001347477932566177
2.340827276178294e-06,0.0001375720019594073
2.389892566231052e-06,0.0001404553997171876
2.43998629725955e-06,0.0001433992268233819
2.491130026067786e-06,0.0001464047495536303
2.543345761304648e-06,0.0001494732607103533
2.596655972934872e-06,0.0001526060801779749
2.651083601908542e-06,0.0001558045554896914
2.706652070033241e-06,0.0001590700624065633
2.763385290053167e-06,0.0001624040055083764
2.821307675939471e-06,0.0001658078187967149
2.880444153396298e-06,0.0001692829663112461
2.940820170587067e-06,0.0001728309427582175
3.002461709085549e-06,0.0001764532741524993
3.065395295056524e-06,0.0001801515184728375
3.129648010670751e-06,0.0001839272663308744
3.195247505759214e-06,0.0001877821416546022
3.262222009711673e-06,0.0001917178023846944
3.330600343624589e-06,0.0001957359411876025
3.400411932703702e-06,0.0001998382861811976
3.47168681892656e-06,0.0002040266016773984
3.544455673970436e-06,0.0002083026889393436
3.618749812411284e-06,0.000212668386954773
3.694601205199302e-06,0.0002171255732251742
3.772042493416993e-06,0.0002216761645719156
3.851107002325569e-06,0.0002263221179590325
3.93182875570577e-06,0.0002310654313328886
4.014242490499326e-06,0.000235908144480157
4.098383671757261e-06,0.0002408523399022311
4.184288507901576e-06,0.000245900143710065
4.271993966306777e-06,0.000251053726535444
4.361537789208005e-06,0.0002563153044631283
4.45295850994266e-06,0.0002616871399809817
4.5462954695324e-06,0.0002671715429513055
4.641588833612773e-06,0.0002727708716010468
4.738879609717651e-06,0.0002784875335340997
4.838209664925957e-06,0.0002843239867632574
4.939621743878326e-06,0.0002902827407651465
