#Pareto aproximation (maximum likehood) vs Original set
#ParetoMl(x), ParetoMl(CDF) 
1e-08,0
1.020960662306048e-08,0
1.042360673976401e-08,0
1.064209244064725e-08,0
1.086515774652537e-08,0
1.109289864895223e-08,0
1.132541315152813e-08,0
1.156280131207375e-08,0
1.180516528568806e-08,0
1.205260936870841e-08,0
1.230524004359262e-08,0
1.256316602474122e-08,0
1.28264983052806e-08,0
1.309535020482668e-08,0
1.336983741824945e-08,0
1.365007806546014e-08,0
1.393619274224144e-08,0
1.422830457214352e-08,0
1.452653925946781e-08,0
1.483102514336103e-08,0
1.514189325304352e-08,0
1.545927736419478e-08,0
1.578331405652117e-08,0
1.61141427725302e-08,0
1.645190587753661e-08,0
1.679674872092653e-08,0
1.714881969870541e-08,0
1.750827031735723e-08,0
1.787525525904235e-08,0
1.824993244816151e-08,0
1.86324631193156e-08,0
1.902301188668946e-08,0
1.942174681489025e-08,0
1.982883949127072e-08,0
2.024446509976802e-08,0
2.066880249629082e-08,0
2.110203428568597e-08,0
2.154434690031882e-08,0
2.199593068030075e-08,0
2.245697995539776e-08,0
2.292769312865649e-08,0
2.340827276178294e-08,0
2.389892566231048e-08,0
2.43998629725955e-08,0
2.491130026067791e-08,0
2.543345761304648e-08,0
2.596655972934873e-08,0
2.651083601908536e-08,0
2.706652070033241e-08,0
2.763385290053173e-08,0
2.821307675939471e-08,0
2.880444153396298e-08,0
2.940820170587061e-08,0
3.002461709085549e-08,0
3.06539529505653e-08,0
3.12964801067075e-08,0
3.195247505759214e-08,0
3.262222009711667e-08,0
3.330600343624589e-08,0
3.40041193270371e-08,0
3.471686818926559e-08,0
3.544455673970436e-08,0
3.618749812411276e-08,0
3.694601205199302e-08,0
3.772042493417001e-08,0
3.851107002325569e-08,0
3.93182875570577e-08,0
4.014242490499318e-08,0
4.098383671757262e-08,0
4.184288507901584e-08,0
4.271993966306777e-08,0
4.361537789208006e-08,0
4.45295850994266e-08,0
4.546295469532399e-08,0
4.641588833612782e-08,0
4.738879609717651e-08,0
4.838209664925958e-08,0
4.939621743878326e-08,0
5.043159487171359e-08,0.0009876695979186279
5.148867450137498e-08,0.003367431092068718
5.256791122018419e-08,0.005741523722485153
5.366976945540476e-08,0.008109960993049392
5.479472336900293e-08,0.01047275637547451
5.594325706169378e-08,0.01282992330938226
5.711586478126435e-08,0.01518147520238033
5.831305113526219e-08,0.01752742543013741
5.95353313081437e-08,0.01986778733646022
6.078323128297236e-08,0.02220257423336869
6.2057288067765e-08,0.02453179940117189
6.335804992658255e-08,0.02685547608854433
6.46860766154632e-08,0.02917361751259984
6.604193962330306e-08,0.03148623685896834
6.742622241778349e-08,0.03379334728186945
6.883952069645497e-08,0.03609496190418804
7.028244264308353e-08,0.03839109381754935
7.175560918936921e-08,0.040681756082392
7.32596542821523e-08,0.04296696172804393
7.479522515621828e-08,0.04524672375279537
7.636298261282242e-08,0.04752105512397276
7.796360130405237e-08,0.04978996877801378
7.959777002314978e-08,0.05205347762053913
8.126619200091946e-08,0.05431159452642775
8.296958520834915e-08,0.05656433233988845
8.470868266557402e-08,0.05881170387453349
8.648423275731727e-08,0.0610537219134526
8.829699955494083e-08,0.0632903992092837
9.014776314524918e-08,0.06552174848428738
9.20373199661823e-08,0.06774778243041768
9.396648314954691e-08,0.06996851370939494
9.593608287093146e-08,0.07218395495277863
9.794696670695386e-08,0.07439411876203716
1e-07,0.0765990177086221
1.020960662306048e-07,0.07879866433403759
1.042360673976401e-07,0.08099307114991239
1.064209244064725e-07,0.08318225063807172
1.086515774652537e-07,0.08536621525060706
1.109289864895223e-07,0.08754497740994838
1.132541315152813e-07,0.08971854950893299
1.156280131207375e-07,0.09188694391087759
1.180516528568806e-07,0.09405017294964835
1.205260936870841e-07,0.09620824892973001
1.230524004359261e-07,0.09836118412629746
1.256316602474121e-07,0.1005089907852841
1.28264983052806e-07,0.102651681123452
1.309535020482668e-07,0.1047892673284623
1.336983741824945e-07,0.1069217615589428
1.365007806546014e-07,0.1090491759445591
1.393619274224144e-07,0.1111715225860815
1.422830457214352e-07,0.1132888135554555
1.452653925946781e-07,0.1154010608958697
1.483102514336103e-07,0.1175082766218243
1.514189325304352e-07,0.1196104727192
1.545927736419479e-07,0.1217076611453255
1.578331405652117e-07,0.1237998538290453
1.61141427725302e-07,0.1258870626707891
1.645190587753661e-07,0.1279692995426374
1.679674872092653e-07,0.1300465762883908
1.714881969870541e-07,0.1321189047236361
1.750827031735723e-07,0.1341862966358139
1.787525525904236e-07,0.1362487637842867
1.824993244816151e-07,0.1383063179004038
1.86324631193156e-07,0.1403589706875698
1.902301188668946e-07,0.14240673382131
1.942174681489024e-07,0.1444496189493372
1.982883949127071e-07,0.1464876376916187
2.024446509976802e-07,0.1485208016404409
2.066880249629082e-07,0.1505491223604768
2.110203428568597e-07,0.1525726113888504
2.154434690031882e-07,0.1545912802352029
2.199593068030075e-07,0.1566051403817591
2.245697995539772e-07,0.1586142032833907
2.292769312865649e-07,0.1606184803676837
2.340827276178294e-07,0.1626179830350013
2.389892566231048e-07,0.1646127226585501
2.43998629725955e-07,0.1666027105844448
2.491130026067786e-07,0.1685879581317715
2.543345761304648e-07,0.1705684765926542
2.596655972934872e-07,0.1725442772323165
2.651083601908536e-07,0.1745153712891475
2.706652070033241e-07,0.1764817699747656
2.763385290053167e-07,0.1784434844740808
2.82130767593947e-07,0.1804005259453605
2.880444153396298e-07,0.1823529055202912
2.940820170587061e-07,0.1843006343040422
3.002461709085549e-07,0.1862437233753298
