# AIC and BIC values
#Function,AIC,BIC
Weibull,-1151.246942,-1142.682408
Normal,1212.055243,1220.619776
Exponential(LR),-47.047712,-42.765445
Exponential(Me),-216.294631,-212.012365
Pareto(LR),3377.719429,3386.283962
Pareto(MLH),188.292786,196.857320
Cauchy,6941.725234,6950.289768
