#Exponential aproximation (mean) vs Original set
#ExpMe(x), ExpMe(CDF) 
3.544455673970436e-08,1.222468661854492e-07
3.618749812411276e-08,1.248092412753365e-07
3.694601205199302e-08,1.274253255134639e-07
3.772042493417001e-08,1.300962445549558e-07
3.851107002325569e-08,1.328231478137099e-07
3.93182875570577e-08,1.356072086844406e-07
4.014242490499318e-08,1.384496254308587e-07
4.098383671757262e-08,1.413516210746479e-07
4.184288507901584e-08,1.443144445056888e-07
4.271993966306777e-08,1.473393705930803e-07
4.361537789208006e-08,1.504277011843413e-07
4.45295850994266e-08,1.5358076510541e-07
4.546295469532399e-08,1.567999194929115e-07
4.641588833612782e-08,1.600865493500692e-07
4.738879609717651e-08,1.634420692120386e-07
4.838209664925958e-08,1.668679229238634e-07
4.939621743878326e-08,1.70365584750698e-07
5.043159487171359e-08,1.73936559932919e-07
5.148867450137498e-08,1.77582385130215e-07
5.256791122018419e-08,1.813046291987419e-07
5.366976945540476e-08,1.851048939682798e-07
5.479472336900293e-08,1.889848147973439e-07
5.594325706169378e-08,1.929460612393186e-07
5.711586478126435e-08,1.969903381526805e-07
5.831305113526219e-08,2.011193855899762e-07
5.95353313081437e-08,2.053349806852012e-07
6.078323128297236e-08,2.096389374317553e-07
6.2057288067765e-08,2.140331080147106e-07
6.335804992658255e-08,2.185193831438781e-07
6.46860766154632e-08,2.230996937191421e-07
6.604193962330306e-08,2.277760104973936e-07
6.742622241778349e-08,2.325503459799094e-07
6.883952069645497e-08,2.374247546343966e-07
7.028244264308353e-08,2.424013341162379e-07
7.175560918936921e-08,2.474822260456477e-07
7.32596542821523e-08,2.526696167848286e-07
7.479522515621828e-08,2.579657385481937e-07
7.636298261282242e-08,2.633728706236127e-07
7.796360130405237e-08,2.688933397054782e-07
7.959777002314978e-08,2.745295213379961e-07
8.126619200091946e-08,2.802838411364306e-07
8.296958520834915e-08,2.861587752311934e-07
8.470868266557402e-08,2.921568518221562e-07
8.648423275731727e-08,2.982806520668291e-07
8.829699955494083e-08,3.045328110795609e-07
9.014776314524918e-08,3.109160194858518e-07
9.20373199661823e-08,3.174330241995094e-07
9.396648314954691e-08,3.240866295328715e-07
9.593608287093146e-08,3.308796987511187e-07
9.794696670695386e-08,3.378151552935194e-07
1e-07,3.448959834395637e-07
1.020960662306048e-07,3.521252304183875e-07
1.042360673976401e-07,3.595060070749057e-07
1.064209244064725e-07,3.670414897571916e-07
1.086515774652537e-07,3.747349209826112e-07
1.109289864895223e-07,3.825896116582683e-07
1.132541315152813e-07,3.906089417471392e-07
1.156280131207375e-07,3.987963622664736e-07
1.180516528568806e-07,4.071553963980179e-07
1.205260936870841e-07,4.156896413753941e-07
1.230524004359261e-07,4.244027697053454e-07
1.256316602474121e-07,4.332985309440929e-07
1.28264983052806e-07,4.423807531406254e-07
1.309535020482668e-07,4.516533446130566e-07
1.336983741824945e-07,4.611202956139593e-07
1.365007806546014e-07,4.707856802177446e-07
1.393619274224144e-07,4.806536574308851e-07
1.422830457214352e-07,4.907284739674722e-07
