Weibull         : weibull_alpha=0.514254, weibull_betha=0.096797
Normal          : normal_mean=0.289942, normal_std=0.694715
Exponential(LR) : exp_lambda=1.791148
Exponential(Me) : exp_lambdaMean=3.448960
Pareto(LR)      : pareto_alpha=0.427644, pareto_xm=0.000000
Pareto(MLH)     : pareto_mlh_alpha=0.074798, pareto_mlh_xm=0.000000
Cauchy          : cauchy_gamma=0.000171, cauchy_x0=0.188037

