#Hurst Exponent
#Distribution, Hust, Error
Original       ,0.555541,0.000000
Weibull        ,0.521181,0.014802
Normal         ,0.528074,0.012426
Exponential(LR),0.530822,0.012057
Exponential(Me),0.530822,0.012057
Pareto(LR)     ,0.504504,0.006235
Pareto(MLH)    ,0.518825,0.012986
Cauchy         ,0.503510,0.009945
