# AIC and BIC values
#AICandBICvalues
##Function,AIC,BIC
Weibull,-2293.803421,-2283.850724
Normal,2423.863647,2433.816343
Exponential(LR),96.901786,101.878134
Exponential(Me),-426.102060,-421.125711
Pareto(LR),6411.056537,6421.009233
Pareto(MLH),361.900733,371.853429
Cauchy,13464.643356,13474.596052
