#Mean
#Distribution, Mean, Error
Original       ,0.299818,0.000000
Weibull        ,0.180673,0.005230
Normal         ,0.444835,0.008271
Exponential(LR),0.551090,0.010630
Exponential(Me),0.290650,0.004283
Pareto(LR)     ,0.003367,0.001749
Pareto(MLH)    ,1.376430,0.031816
Cauchy         ,0.188100,0.000143
