#Empirical CDF function
#INTER_ARRIVAL_DATASET(x), INTER_ARRIVAL_CDF(y)
5e-08,0.001869158878504673
0.000273,0.003738317757009346
0.000281,0.005607476635514019
0.000283,0.007476635514018692
0.000379,0.009345794392523366
0.000441,0.01121495327102804
0.000448,0.01308411214953271
0.000457,0.01495327102803738
0.000465,0.01682242990654206
0.000467,0.01869158878504673
0.000476,0.02056074766355141
0.00049,0.02242990654205608
0.000564,0.02429906542056075
0.000569,0.02616822429906543
0.000585,0.0280373831775701
0.0005910000000000001,0.02990654205607478
0.000605,0.03177570093457945
0.000625,0.03364485981308413
0.000678,0.0355140186915888
0.000687,0.03738317757009348
0.000961,0.04112149532710282
0.000961,0.04112149532710282
0.001078,0.0429906542056075
0.001084,0.04485981308411217
0.001087,0.04672897196261685
0.001149,0.04859813084112152
0.001166,0.0504672897196262
0.001175,0.05233644859813087
0.001219,0.05420560747663555
0.001578,0.05607476635514022
0.001739,0.0579439252336449
0.001913,0.05981308411214957
0.001937,0.06168224299065424
0.002148,0.06355140186915892
0.002273,0.06542056074766359
0.002343,0.06728971962616825
0.002438,0.06915887850467292
0.002441,0.07102803738317759
0.002513,0.07289719626168226
0.002564,0.07476635514018692
0.002609,0.07663551401869159
0.00261,0.07850467289719626
0.002886,0.08037383177570093
0.002895,0.08224299065420559
0.002946,0.08411214953271026
0.002959,0.08598130841121493
0.002973,0.0878504672897196
0.003044,0.08971962616822426
0.003045,0.09158878504672893
0.003096,0.0934579439252336
0.00313,0.09532710280373827
0.003131,0.09719626168224293
0.003165,0.0990654205607476
0.003168,0.1009345794392523
0.003175,0.1028037383177569
0.003178,0.1046728971962616
0.003221,0.1065420560747663
0.003234,0.1084112149532709
0.003239,0.1102803738317756
0.003254,0.1140186915887849
0.003254,0.1140186915887849
0.003342,0.1158878504672896
0.003344,0.1177570093457943
0.003355,0.1196261682242989
0.003357,0.1214953271028036
0.003369,0.1233644859813083
0.003472,0.1252336448598129
0.003542,0.1271028037383176
0.003556,0.1289719626168223
0.003576,0.130841121495327
0.003619,0.1327102803738316
0.003654,0.1345794392523363
0.003679,0.136448598130841
0.003708,0.1383177570093456
0.003731,0.142056074766355
0.003731,0.142056074766355
0.003745,0.1439252336448596
0.003756,0.1457943925233643
0.003802,0.147663551401869
0.003853,0.1495327102803736
0.003883,0.1514018691588783
0.003887,0.153271028037383
0.003897,0.1551401869158876
0.003906,0.1570093457943923
0.003914,0.158878504672897
0.003915,0.1607476635514016
0.003916,0.1626168224299063
0.003931,0.164485981308411
0.003935,0.1663551401869156
0.003936,0.1682242990654203
0.003955,0.170093457943925
0.003959,0.1719626168224296
0.003966,0.1738317757009343
0.003969,0.175700934579439
0.003976,0.1775700934579436
0.003987,0.1794392523364483
0.003999,0.181308411214953
0.00404,0.1831775700934576
0.004068,0.1850467289719623
0.004122,0.186915887850467
0.004158,0.1887850467289716
0.004165,0.1906542056074763
0.004173,0.192523364485981
0.004178,0.1943925233644856
0.004185,0.1962616822429903
0.004194,0.198130841121495
0.004195,0.1999999999999997
0.004196,0.2018691588785043
0.004225,0.203738317757009
0.004272,0.2056074766355137
0.004276,0.2074766355140183
0.00433,0.209345794392523
0.004339,0.2112149532710277
0.004359,0.2130841121495323
0.00436,0.214953271028037
0.004387,0.2168224299065417
0.004407,0.2186915887850463
0.004408,0.220560747663551
0.004423,0.2224299065420557
0.004484,0.2242990654205603
0.004585,0.226168224299065
0.004595,0.2280373831775697
0.004633,0.2299065420560743
0.004679,0.231775700934579
0.004708,0.2336448598130837
0.004727,0.2355140186915883
0.004736,0.237383177570093
0.004738,0.2392523364485977
0.004758,0.2411214953271023
0.004763,0.242990654205607
0.004792,0.2448598130841117
0.004831,0.2467289719626163
0.004855,0.248598130841121
0.00486,0.2504672897196257
0.004869,0.2523364485981304
0.004893,0.2542056074766351
0.004898,0.2560747663551398
0.004905,0.2579439252336445
0.004981,0.2598130841121492
0.005116,0.2616822429906538
0.00516,0.2635514018691585
0.005165,0.2654205607476632
0.005193,0.2672897196261679
0.005196,0.2691588785046726
0.00523,0.2710280373831773
0.005307,0.272897196261682
0.005308,0.2747663551401867
0.005339,0.2766355140186914
0.005354,0.2785046728971961
0.005362,0.2803738317757008
0.005404,0.2822429906542055
0.005408,0.2841121495327102
0.005412,0.2859813084112149
0.00543,0.2878504672897196
0.005435,0.2897196261682243
0.005469,0.291588785046729
0.005621,0.2934579439252337
0.005626,0.2953271028037384
0.005682,0.2971962616822431
0.005684,0.2990654205607478
0.005691,0.3009345794392524
0.005709,0.3028037383177571
0.00582,0.3046728971962618
0.005845,0.3065420560747665
0.005847,0.3084112149532712
0.005872,0.3102803738317759
0.005898,0.3121495327102806
0.005906,0.3140186915887853
0.005907,0.3196261682242994
0.005907,0.3196261682242994
0.005907,0.3196261682242994
0.005917,0.3214953271028041
0.00592,0.3233644859813088
0.00593,0.3252336448598135
0.005951,0.3271028037383182
0.005957,0.3289719626168229
0.005961,0.3308411214953276
0.005963,0.3327102803738323
0.00606,0.334579439252337
0.00609,0.3364485981308417
0.006148,0.3383177570093464
0.006166,0.340186915887851
0.006254,0.3420560747663557
0.006305,0.3439252336448604
0.006355,0.3457943925233651
0.00639,0.3476635514018698
0.006397,0.3495327102803745
0.006412,0.3514018691588792
0.006418,0.3532710280373839
0.006716,0.3551401869158886
0.006795,0.3570093457943933
0.006957,0.358878504672898
0.007142,0.3607476635514027
0.007383,0.3626168224299074
0.007504,0.3644859813084121
0.007813000000000001,0.3663551401869168
0.007828,0.3682242990654215
