#Correlation
#Distribution, Correlation, Error
Weibull        ,0.977151,0.003929
Normal         ,0.796821,0.008746
Exponential(LR),0.898811,0.006769
Exponential(Me),0.895889,0.006603
Pareto(LR)     ,0.500077,0.025252
Pareto(MLH)    ,0.618635,0.007905
Cauchy         ,0.429852,0.059915
